Date,Object,Price,Location,Category,Object Type,Material,Link
2019-01-17 00:00:00,"Sold Jan 17 , 2019 Large bronze ancient egyptian figurine of horus as a falcon 664 332 bc ",46.35,,egyptian  | ,statue | religious | ,metal | ,
2018-11-11 00:00:00,"Sold Nov 11 , 2018 a* LEGIO X FRETENSIS ancient Bronze Legionary Roman Ring rare a* ",6.5,Serbia,roman | ,jewellery | ,metal | ,https://www.ebay.com/itm/LEGIO-X-FRETENSIS-Ancient-Bronze-Legionary-Roman-Ring-RARE/253968924022?hash=item3b21ba3d76%3Ag%3ACDgAAOSwwtdb4jlE&LH_Auction=1
2019-03-28 00:00:00,"Sold Mar 28 , 2019 BRONZE MUSKET PELLET MOLD LOT OF 2 ",14.9,Austria,?,tool | ,metal | ,https://www.ebay.com/itm/BRONZE-MUSKET-PELLET-MOLD-LOT-OF-2/323747037639?hash=item4b60d3c1c7%3Ag%3AV5YAAOSw-dhck9Fm&LH_Auction=1
2019-04-03 00:00:00,"Sold Apr 3 , 2019 SUPERB ROMAN LEGIONARY ARCHAIC HORSE BROOCH WEARABLE RARE ",12.46,0,roman | ,clothing | ,?,"Wembley, United Kingdom"
2019-03-10 00:00:00,"Sold Mar 10 , 2019 BEAUTIFUL ANCIENT EGYPTIAN GLAZED FAIENCE RING WITH ankh ON bevel KEY OF LIFE ",27.36,United Kingdom,egyptian  | ,jewellery | household | ,terracotta | ,https://www.ebay.com/itm/BEAUTIFUL-ANCIENT-EGYPTIAN-GLAZED-FAIENCE-RING-WITH-ANHK-ON-BEZEL-KEY-OF-LIFE/153397361599?hash=item23b731fbbf%3Ag%3AUEgAAOSwVVdcd8ZG&LH_Auction=1
2019-04-20 00:00:00,"Sold Apr 20 , 2019 VERY RARE LOT OF x PHOENICIAN BEAD SEALS 30059 SUPER QUALITY ( 1 ) ",2.99,0,near east | ,jewellery | tool | ,?,"Forest Row, East Sussex, United Kingdom"
2018-12-12 00:00:00,"Sold Dec 12 , 2018 14 RARE Ancient Roman & Phoenician Glass Beads 2000  Years Old Artifacts ",22.49,United States,roman | near east | ,jewellery | ,glass | ,https://www.ebay.com/itm/14-RARE-Ancient-Roman-Phoenician-Glass-Beads-2000-Years-Old-Artifacts/273596782395?hash=item3fb3a3973b%3Ag%3Ae6wAAOSwBMpcBgN3&LH_Auction=1
2019-02-08 00:00:00,"Sold Feb 8 , 2019 MEDIEVAL BRONZE ICON W SAINT RARE MOTIF HISTORIC RELIGIOUS ARTIFACT STUNNING ",23,Russia,medieval | ,religious | ,metal | ,https://www.ebay.com/itm/MEDIEVAL-BRONZE-ICON-W-SAINT-RARE-MOTIF-HISTORIC-RELIGIOUS-ARTIFACT-STUNNING/183659793127?hash=item2ac2fa0ae7%3Ag%3AeTQAAOSwVXdcUD1O&LH_Auction=1
2018-12-30 00:00:00,"Sold Dec 30 , 2018 WEARABLE VIKING SILVER MILITARY PENDANT WAR SCYTHE SHAPED CIRCA 900 AD 3.48  27  ",78.14,United Kingdom,viking | ,jewellery | ,metal | ,https://www.ebay.com/itm/WEARABLE-VIKING-SILVER-MILITARY-PENDANT-WAR-SCYTHE-SHAPED-CIRCA-900-AD-3-4gr-27m/312387405136?hash=item48bbbd8550%3Ag%3AH5IAAOSws0pcGhd1&LH_Auction=1
2018-12-23 00:00:00,"Sold Dec 23 , 2018 ANCIENT bacteria ap1000 BC ARCHAIC CRYSTAL BEAD SHAPED HAS LION GIFT 15 ",21.18,United Kingdom,?,jewellery | ,stone | ,https://www.ebay.com/itm/ANCIENT-BACTRIAN-CA-1000-BC-ARCHAIC-CRYSTAL-BEAD-SHAPED-HAS-LION-GIFT-15/264091022461?hash=item3d7d0d347d%3Ag%3A1DUAAOSwTDpb-xDg&LH_Auction=1
