Date,Object,Price,Location,Category,Object Type,Material,Link
2018-12-11 00:00:00,"Sold  Dec 11, 2018 Roman Ancient Rare Jade Fish Stone Amulet With Face seal   # 7C",17.5,Thailand,Roman,jewellery ,stone ,https://www.ebay.com/itm/Roman-Ancient-Rare-Jade-Fish-Stone-Amulet-With-Face-seal-7C/283292960313?hash=item41f5938639%3Ag%3ACrgAAOSwPmVcCXgR&LH_Auction=1
2019-01-30 00:00:00,"Sold  Jan 30, 2019 Ancient Egyptian Antiquities rare 25 Amulets ( 1816 BC)",60.0,Egypt,Egyptian,jewellery ,,https://www.ebay.com/itm/Ancient-Egyptian-Antiquities-rare-25-Amulets-1816-BC/123616142336?hash=item1cc818a400%3Ag%3AAJ8AAOSwPYNcLVHW&LH_Auction=1
2019-01-22 00:00:00,"Sold  Jan 22, 2019 Ancient Viking Old Bronze FABULOUS STATUS Ring Runic Ornament VERY RARE",51.0,Russia,Viking,jewellery statue ,metal ,https://www.ebay.com/itm/Ancient-Viking-Old-Bronze-FABULOUS-STATUS-Ring-Runic-Ornament-VERY-RARE/183632932913?hash=item2ac1603031%3Ag%3ApNYAAOSwD1pcObTm&LH_Auction=1
2019-02-05 00:00:00,"Sold  Feb 5, 2019 MUSEUM QUALITY VIKING BRONZE HOSTAGES ARROWHEAD CA 700-900 AD - VERY RARE",164.22,Cyprus,Viking,weapon ,metal ,https://www.ebay.com/itm/MUSEUM-QUALITY-VIKING-BRONZE-HOSTAGES-ARROWHEAD-CA-700-900-AD-VERY-RARE/392226154991?hash=item5b528029ef%3Ag%3ApOIAAOSwZqlcULOB&LH_Auction=1
2018-12-09 00:00:00,"Sold  Dec 9, 2018 RARE UNSUAL ANCIENT ROMAN ARCHAIC CA.200 AD GLASS FLASK WITH TWIN HANDLES",115.22,,Roman,vessel ,glass ,
2018-12-10 00:00:00,"Sold  Dec 10, 2018 CARVED EGYPTIAN ?  PORTRAIT IN  STONE",30.46,,Egyptian,portrait,stone ,
2018-12-15 00:00:00,"Sold  Dec 15, 2018 10 Ancient Neolithic Flint Arrowheads, Stone Age, VERY RARE !!  TOP !!",8.55,Germany,Pre-historic,weapon tool ,stone ,https://www.ebay.com/itm/10-Ancient-Neolithic-Flint-Arrowheads-Stone-Age-VERY-RARE-TOP/143046823747?hash=item214e414f43%3Ag%3A7%7EMAAOSwnhlcDnfS&LH_Auction=1
2018-12-05 00:00:00,"Sold  Dec 5, 2018 AUTHENTIC ANCIENT INDUS VALLEY TERRACOTTA BOWL W/ DEER MOTIF - L767",92.7,United Kingdom,Indus,weapon vessel ,terracotta ,https://www.ebay.com/itm/AUTHENTIC-ANCIENT-INDUS-VALLEY-TERRACOTTA-BOWL-W-DEER-MOTIF-L767/253995495186?hash=item3b234faf12%3Ag%3AOMUAAOSwC9hb9-Ku&LH_Auction=1
2019-02-09 00:00:00,"Sold  Feb 9, 2019 EGYPTIAN BES STATUE, LATE PERIOD 664 - 332 BC LARGE 9.2 CM TALL !! (9)",47.68,United States,Egyptian,statue,,https://www.ebay.com/itm/EGYPTIAN-BES-STATUE-LATE-PERIOD-664-332-BC-LARGE-9-2-CM-TALL-9/312459905067?hash=item48c00fc82b%3Ag%3AjssAAOSwa1ZcWF-P&LH_Auction=1
2019-02-04 00:00:00,"Sold  Feb 4, 2019 Roman Snake Ring in 22kt Gold on Fine Pewter",6.61,United Kingdom,Roman,jewellery ,metal ,https://www.ebay.com/itm/Roman-Snake-Ring-in-22kt-Gold-on-Fine-Pewter/143110173052?hash=item215207f17c%3Ag%3AsoUAAOSwzhFcOjWp&LH_Auction=1
