Object,Price,Location,Link
"Sold  Feb 12, 2019 Scythian akinak. Scythians. 8th century. 57 cm. Excellent condition. ORIGINAL",$251.50,"Bad Schwalbach, Germany",https://www.ebay.com/itm/Scythian-akinak-Scythians-8th-century-57-cm-Excellent-condition-ORIGINAL/401701532455?hash=item5d8746f327%3Ag%3AvnkAAOSwN5hcKBGA&LH_Auction=1
"Sold  Feb 12, 2019 MINT Royal Coats Of Arms Badges (52)  Brilliant Legacy (RARE). BUY BUY BUY  !",$80.00,"Westland, Michigan, United States",https://www.ebay.com/itm/MINT-Royal-Coats-Of-Arms-Badges-52-Brilliant-Legacy-RARE-BUY-BUY-BUY/264183510866?hash=item3d82907752%3Ag%3AUoUAAOSwJtJcBczl&LH_Auction=1
"Sold  Feb 11, 2019 A453. Celtic style bronze boar figurine",$17.00,"Pavlikeni, Bulgaria",https://www.ebay.com/itm/A453-Celtic-style-bronze-boar-figurine/233128750237?hash=item36478e6c9d%3Ag%3AxD0AAOSwZntcYHBe&LH_Auction=1
"Sold  Feb 10, 2019 Three ancient rings with symbols of the sun 13-15 century",$11.00,"Ferndale, Washington, United States",https://www.ebay.com/itm/Three-ancient-rings-with-symbols-of-the-sun-13-15-century/333057031791?hash=item4d8bbefe6f%3Ag%3A7OQAAOSwGyZcWhnK&LH_Auction=1
"Sold  Feb 9, 2019 ANCIENT CELTIC ROMAN MEDICINE TOOL  110 mm",$0.99,"NIS, Serbia",https://www.ebay.com/itm/ANCIENT-CELTIC-ROMAN-MEDICINE-TOOL-110-mm/123626178301?hash=item1cc8b1c6fd%3Ag%3AxGsAAOSwMxdarWaQ&LH_Auction=1
"Sold  Feb 9, 2019 RARE ROMAN LEGIONARY FIBULA",$11.15,"Štúrovo, default, Slovakia",https://www.ebay.com/itm/RARE-ROMAN-LEGIONARY-FIBULA/273683141054?hash=item3fb8c951be%3Ag%3AwDgAAOSwgZlcVgv%7E&LH_Auction=1
"Sold  Feb 9, 2019  Perfect-Ancient-Celtic-Bronze-Ring-Pendant-Proto-Money-Pre-Coin-Wearable-224  P",$19.99,"Ukraine, Ukraine",https://www.ebay.com/itm/Perfect-Ancient-Celtic-Bronze-Ring-Pendant-Proto-Money-Pre-Coin-Wearable-224-P/273683134047?hash=item3fb8c9365f%3Ag%3AadMAAOSwiudcVgp8&LH_Auction=1
"Sold  Feb 8, 2019 ** AMAZING  **  Ancient CELTIC Silver ring",$18.26,"Kozarska Dubica, Bosnia and Herzegovina",https://www.ebay.com/itm/AMAZING-Ancient-CELTIC-Silver-ring/113610891958?hash=item1a73bca2b6%3Ag%3A0KYAAOSwYEVcVMx4&LH_Auction=1
"Sold  Feb 8, 2019 1 Ancient Celtic Glass Bead Celts VERY RARE!  TOP !!",$29.00,"Bavaria, Germany",https://www.ebay.com/itm/1-Ancient-Celtic-Glass-Bead-Celts-VERY-RARE-TOP/153363470508?hash=item23b52cd8ac%3Ag%3Ap58AAOSwWtFcVxnW&LH_Auction=1
"Sold  Feb 8, 2019 A447. Celtic style bronze boar figurine",$17.00,"Pavlikeni, Bulgaria",https://www.ebay.com/itm/A447-Celtic-style-bronze-boar-figurine/333060493934?hash=item4d8bf3d26e%3Ag%3Aw-IAAOSwJrdcXInh&LH_Auction=1
"Sold  Feb 7, 2019 Celtic oil lamp c. 200 - 200 AD 1 1/2"" x 1 1/2""",$1.00,"East Weymouth, Massachusetts, United States",https://www.ebay.com/itm/Celtic-oil-lamp-c-200-200-AD-1-1-2-x-1-1-2/123618287356?hash=item1cc8395efc%3Ag%3AR7YAAOSwPGtcUAHN&LH_Auction=1
"Sold  Feb 6, 2019 RARE Celtic Ring Money Proto Coin From 800 BC Artifact Valued $300 Ancient",$15.50,"EU, Czech Republic",https://www.ebay.com/itm/RARE-Celtic-Ring-Money-Proto-Coin-From-800-BC-Artifact-Valued-300-Ancient/273679223830?hash=item3fb88d8c16%3Ag%3AxS8AAOSwAGFcT8wL&LH_Auction=1
"Sold  Feb 6, 2019  ANCIENT CELTIC VOTIVE BRONZE KNIFE AMULET PENDANT.",$36.00,"Kozarska Dubica, Bosnia and Herzegovina",https://www.ebay.com/itm/ANCIENT-CELTIC-VOTIVE-BRONZE-KNIFE-AMULET-PENDANT/372584160697?hash=item56bfbf1db9%3Ag%3AjZMAAOSwMOVcSJNt&LH_Auction=1
"Sold  Feb 5, 2019 Celtic pottery oil lamp c 300 BC - 200 AD, 1 5/8"" wide, at highest pt 1"" high",$3.00,"East Weymouth, Massachusetts, United States",https://www.ebay.com/itm/Celtic-pottery-oil-lamp-c-300-BC-200-AD-1-5-8-wide-at-highest-pt-1-high/123614605409?hash=item1cc8013061%3Ag%3A6GYAAOSwN3NcTQJp&LH_Auction=1
"Sold  Feb 5, 2019 Bronze fibula,  Europe c. 300 AD, 1 1/2"" long, 7/8"" across",$15.00,"East Weymouth, Massachusetts, United States",https://www.ebay.com/itm/Bronze-fibula-Europe-c-300-AD-1-1-2-long-7-8-across/123614594857?hash=item1cc8010729%3Ag%3AwKAAAOSwuA9cTP4y&LH_Auction=1
"Sold  Feb 4, 2019 Celtic ancient collection ritual sickle knife pagan druid bronze 8-3 century BC",$7.16,,
"Sold  Feb 3, 2019 ANTIQUE MEDIEVAL EXCAVATED CRUSADER'S SWORD 12th-14th CENTURY, ENGLISH OR GERMAN","$1,124.00","Ontario, Canada",https://www.ebay.com/itm/ANTIQUE-MEDIEVAL-EXCAVATED-CRUSADERS-SWORD-12th-14th-CENTURY-ENGLISH-OR-GERMAN/233108416256?hash=item3646582700%3Ag%3AnHkAAOSwOHpcSoQk&LH_Auction=1
"Sold  Feb 3, 2019 (3) THREE VERY RARE ANCIENT CELTIC BRONZE COINS 200-300 A.D. VF COND.",$26.00,"Canfield, Ohio, United States",https://www.ebay.com/itm/3-THREE-VERY-RARE-ANCIENT-CELTIC-BRONZE-COINS-200-300-A-D-VF-COND/233112043058?hash=item36468f7e32%3Ag%3AJJMAAOSwFs1cQ7Gx&LH_Auction=1
"Sold  Feb 3, 2019 ANCIENT CELTIC LEAD SEAL WITH HUMAN HEAD - 200/100 BC - RARE",$13.50,"Kozarska Dubica, Bosnia and Herzegovina",https://www.ebay.com/itm/ANCIENT-CELTIC-LEAD-SEAL-WITH-HUMAN-HEAD-200-100-BC-RARE/132929173565?hash=item1ef332383d%3Ag%3Au-IAAOSwbWJcSjPW&LH_Auction=1
"Sold  Feb 3, 2019 Ancient Ambiani Celtic Gold Gallic War Stater Coin 58 BC",$950.00,"Nashville, Indiana, United States",https://www.ebay.com/itm/Ancient-Ambiani-Celtic-Gold-Gallic-War-Stater-Coin-58-BC/202580550785?hash=item2f2abde481%3Ag%3A4XYAAOSwFAtcUMUU&LH_Auction=1
"Sold  Feb 3, 2019 Roman seal ring with portrait of emperor",$21.52,"Europe,Sofia, Bulgaria",https://www.ebay.com/itm/Roman-seal-ring-with-portrait-of-emperor/303042832251?hash=item468ec2a77b%3Ag%3ANA8AAOSwvpVcThwG&LH_Auction=1
"Sold  Feb 3, 2019 Roman potin mirror",$10.58,"Eltham, London, United Kingdom",https://www.ebay.com/itm/Roman-potin-mirror/292936333627?hash=item44345db93b%3Ag%3AcmsAAOSwl7dcThsV&LH_Auction=1
"Sold  Feb 3, 2019 Fragment of Roman lead votive plaque - Dacia or Danube region",$5.50,"Štúrovo, default, Slovakia",https://www.ebay.com/itm/Fragment-of-Roman-lead-votive-plaque-Dacia-or-Danube-region/292936329395?hash=item44345da8b3%3Ag%3AfEEAAOSw3-9cThoG&LH_Auction=1
"Sold  Feb 3, 2019 Roman lead votive plaque, fragment - face of goddess",$5.00,"European Union, Bulgaria",https://www.ebay.com/itm/Roman-lead-votive-plaque-fragment-face-of-goddess/303042822429?hash=item468ec2811d%3Ag%3ADPsAAOSwijZcThk3&LH_Auction=1
"Sold  Feb 3, 2019 Lot of 8 Roman military fitting",$8.50,"Štúrovo, default, Slovakia",https://www.ebay.com/itm/Lot-of-8-Roman-military-fitting/292936321642?hash=item44345d8a6a%3Ag%3AEY4AAOSwVN1cThip&LH_Auction=1
"Sold  Feb 3, 2019 Roman bronze keyring",$6.50,"Grays, United Kingdom",https://www.ebay.com/itm/Roman-bronze-keyring/292936319227?hash=item44345d80fb%3Ag%3ACPMAAOSwNqxcThg4&LH_Auction=1
"Sold  Feb 3, 2019 Roman grinding mortar of herbs or pigments",$100.00,"Štúrovo, default, Slovakia",https://www.ebay.com/itm/Roman-grinding-mortar-of-herbs-or-pigments/303042817021?hash=item468ec26bfd%3Ag%3Ac0cAAOSwo1lcTheF&LH_Auction=1
"Sold  Feb 3, 2019 Roman silver medical tool- spatula",$21.50,"London, United Kingdom",https://www.ebay.com/itm/Roman-silver-medical-tool-spatula/303042813178?hash=item468ec25cfa%3Ag%3ApdAAAOSwmYxcThaK&LH_Auction=1
"Sold  Feb 3, 2019 Lot of 5 Roman and Celtic brooch #2",$36.51,"Štúrovo, default, Slovakia",https://www.ebay.com/itm/Lot-of-5-Roman-and-Celtic-brooch-2/292936309977?hash=item44345d5cd9%3Ag%3AW5YAAOSw7MNcThYN&LH_Auction=1
"Sold  Feb 3, 2019 Lot of 5 Roman knee brooch - different types",$45.55,"Štúrovo, default, Slovakia",https://www.ebay.com/itm/Lot-of-5-Roman-knee-brooch-different-types/303042809759?hash=item468ec24f9f%3Ag%3AnXEAAOSwuNNcThV-&LH_Auction=1
"Sold  Feb 3, 2019 Roman zoomorphic brooch",$47.08,"Cheltenham, United Kingdom",https://www.ebay.com/itm/Roman-zoomorphic-brooch/292936306279?hash=item44345d4e67%3Ag%3AKC4AAOSwO-pcThUA&LH_Auction=1
"Sold  Feb 3, 2019 Roman military brooch",$76.00,"CYPRUS, Cyprus",https://www.ebay.com/itm/Roman-military-brooch/303042805133?hash=item468ec23d8d%3Ag%3ALDsAAOSwgrZcThSH&LH_Auction=1
"Sold  Feb 3, 2019 Lot of 5 Roman and Celtic brooch",$43.00,"Štúrovo, default, Slovakia",https://www.ebay.com/itm/Lot-of-5-Roman-and-Celtic-brooch/303042803401?hash=item468ec236c9%3Ag%3A2mYAAOSwrHtcThP9&LH_Auction=1
"Sold  Feb 3, 2019 SUPERB LATE BRONZE AGE SHORT SWORD - 51,9 cm - 1100/900 BC - BEAUTIFUL PATINA",$525.00,"Kozarska Dubica, Bosnia and Herzegovina",https://www.ebay.com/itm/SUPERB-LATE-BRONZE-AGE-SHORT-SWORD-51-9-cm-1100-900-BC-BEAUTIFUL-PATINA/132929134345?hash=item1ef3319f09%3Ag%3AOboAAOSwckVcSiNX&LH_Auction=1
"Sold  Feb 3, 2019 A433, Celtic style bronze ring money.",$9.99,"Pavlikeni, Bulgaria",https://www.ebay.com/itm/A433-Celtic-style-bronze-ring-money/333039164245?hash=item4d8aae5b55%3Ag%3AIPgAAOSwkFZcGptS&LH_Auction=1
"Sold  Feb 3, 2019 1 Ancient Celtic Glass Bead Celts VERY RARE!  TOP !!",$14.50,"Bavaria, Germany",https://www.ebay.com/itm/1-Ancient-Celtic-Glass-Bead-Celts-VERY-RARE-TOP/153356844975?hash=item23b4c7bfaf%3Ag%3A56kAAOSws2RcUFad&LH_Auction=1
"Sold  Feb 2, 2019 SUPERB LOT OF METAL DETECTING FINDS - PREHISTORIC ROMAN CELTIC VIKING BYZANTINE",$10.50,"Kozarska Dubica, Bosnia and Herzegovina",https://www.ebay.com/itm/SUPERB-LOT-OF-METAL-DETECTING-FINDS-PREHISTORIC-ROMAN-CELTIC-VIKING-BYZANTINE/132931503296?hash=item1ef355c4c0%3Ag%3AM18AAOSwleRcTRsC&LH_Auction=1
"Sold  Feb 2, 2019 SUPERB LOT OF METAL DETECTING FINDS - PREHISTORIC ROMAN CELTIC VIKING BYZANTINE",$31.00,"Kozarska Dubica, Bosnia and Herzegovina",https://www.ebay.com/itm/SUPERB-LOT-OF-METAL-DETECTING-FINDS-PREHISTORIC-ROMAN-CELTIC-VIKING-BYZANTINE/132931503296?hash=item1ef355c4c0%3Ag%3AM18AAOSwleRcTRsC&LH_Auction=1
"Sold  Feb 1, 2019 Ancient find. Bronze age  Ancient Siberia  100% original  Metal detector finds.",$20.00,"Klimovsk, Russian Federation",https://www.ebay.com/itm/Ancient-find-Bronze-age-Ancient-Siberia-100-original-Metal-detector-finds/323661603073?hash=item4b5bbc2101%3Ag%3AR14AAOSwZ2FcR1Ev&LH_Auction=1
"Sold  Feb 1, 2019 Bronze blade. Bronze age  Ancient Siberia  100% original  Metal detector finds.",$15.00,"Klimovsk, Russian Federation",https://www.ebay.com/itm/Bronze-blade-Bronze-age-Ancient-Siberia-100-original-Metal-detector-finds/323661598886?hash=item4b5bbc10a6%3Ag%3Al2kAAOSw6PxcR09f&LH_Auction=1
"Sold  Jan 31, 2019 bronce objects Bronce age ca.1200 BC",$16.00,"Germany, Germany",https://www.ebay.com/itm/bronce-objects-Bronce-age-ca-1200-BC/264161946254?hash=item3d81476a8e%3Ag%3AI4sAAOSwl1FcShKd&LH_Auction=1
"Sold  Jan 30, 2019 RARE Celtic Ring Money Proto Coin From 800 BC Artifact Valued $300 Ancient",$9.95,"EU, Czech Republic",https://www.ebay.com/itm/RARE-Celtic-Ring-Money-Proto-Coin-From-800-BC-Artifact-Valued-300-Ancient/273670245379?hash=item3fb8048c03%3Ag%3ArSEAAOSwvfpcSPiN&LH_Auction=1
"Sold  Jan 30, 2019  ANCIENT CELTIC  BRONZE MIRROR .",$34.00,"Europe, Serbia",https://www.ebay.com/itm/ANCIENT-CELTIC-BRONZE-MIRROR/362540016199?hash=item546911a247%3Ag%3AYWIAAOSwzExcSJKS&LH_Auction=1
"Sold  Jan 29, 2019 VERY RARE Pottery Celtic Idol  circa 500-300 BC.",$80.51,,
"Sold  Jan 27, 2019 Celtic Sword , 1- 2 century AD",$405.00,"Bath, United Kingdom",https://www.ebay.com/itm/Celtic-Sword-1-2-century-AD/233098870057?hash=item3645c67d29%3Ag%3Aa%7E4AAOSwpaVcQP2H&LH_Auction=1
"Sold  Jan 27, 2019 NICE ROMAN BELT BUCKLE",$0.99,"Niš, default, Serbia",https://www.ebay.com/itm/NICE-ROMAN-BELT-BUCKLE/273666102675?hash=item3fb7c55593%3Ag%3AZP4AAOSwjtZbulUH&LH_Auction=1
"Sold  Jan 27, 2019 A417, Celtic style bronze ring money.",$9.99,"Pavlikeni, Bulgaria",https://www.ebay.com/itm/A417-Celtic-style-bronze-ring-money/333029663539?hash=item4d8a1d6333%3Ag%3AIPgAAOSwkFZcGptS&LH_Auction=1
"Sold  Jan 26, 2019 Celtic Period silver ring big size",$45.00,"Ukraine, Ukraine",https://www.ebay.com/itm/Celtic-Period-silver-ring-big-size/113578505533?hash=item1a71ce753d%3Ag%3A0NUAAOSwqClat59i&LH_Auction=1
"Sold  Jan 26, 2019 Bronze Age silver blade with engraved ornaments",$144.01,"Lummi Island, Washington, United States",https://www.ebay.com/itm/Bronze-Age-silver-blade-with-engraved-ornaments/303031945296?hash=item468e1c8850%3Ag%3AFaIAAOSwdgxcP4ro&LH_Auction=1
"Sold  Jan 26, 2019 Celtic silver & iron tool- status symbol with cult bird",$44.00,"Lummi Island, Washington, United States",https://www.ebay.com/itm/Celtic-silver-iron-tool-status-symbol-with-cult-bird/303031942973?hash=item468e1c7f3d%3Ag%3AHj0AAOSwXitcP4ou&LH_Auction=1
"Sold  Jan 26, 2019 Roman writing tool- stylus",$57.00,"..................., Norway",https://www.ebay.com/itm/Roman-writing-tool-stylus/303031939074?hash=item468e1c7002%3Ag%3AbbEAAOSwuUNcP4l9&LH_Auction=1
"Sold  Jan 26, 2019 Roman lead votiv mirror",$6.00,"Štúrovo, default, Slovakia",https://www.ebay.com/itm/Roman-lead-votiv-mirror/292922055128?hash=item443383d9d8%3Ag%3A3V4AAOSwI9FcP4jo&LH_Auction=1
"Sold  Jan 26, 2019 Roman bronze key of casket",$11.49,"Richmond, United Kingdom",https://www.ebay.com/itm/Roman-bronze-key-of-casket/292922051687?hash=item443383cc67%3Ag%3A1KIAAOSwAaxcP4hm&LH_Auction=1
