Date,Object,Price,Location,Category,Object Type,Link
2018-12-19 00:00:00,"Sold  Dec 19, 2018 Museum Quality Greco Roman Square Stone Seal Circa 100 BC",16.13,United Kingdom,Greek,?,https://www.ebay.com/itm/Museum-Quality-Greco-Roman-Square-Stone-Seal-Circa-100-BC/392192136688?hash=item5b507915f0%3Ag%3AWXQAAOSwUVFcESSG&LH_Auction=1
2018-12-09 00:00:00,"Sold  Dec 9, 2018 Аncient iron arrowheads Vikings, Kievan Rus 10-13 AD № 400/6.",9.99,,Viking,?,
2018-10-31 00:00:00,"Sold  Oct 31, 2018 Ancient 9-12 century Viking crosses",6.99,,Viking,?,
2018-11-04 00:00:00,"Sold  Nov 4, 2018 Decorated Roman hair pin",6.44,,Roman,?,
2018-11-05 00:00:00,"Sold  Nov 5, 2018 2 Ancient Roman Carnelian Beads, Romans VERY RARE!  TOP!",12.5,United States,Roman,?,https://www.ebay.com/itm/2-Ancient-Roman-Carnelian-Beads-Romans-VERY-RARE-TOP/142995946007?hash=item214b38fa17%3Ag%3Amv4AAOSwDP1b2YoZ&LH_Auction=1
2019-01-05 00:00:00,"Sold  Jan 5, 2019 LOT of 6 pcs. ANCIENT ROMAN, BYZANTINE AND MEDIEVAL FINGER RINGS+++",159.5,Norway,Byzantine,?,https://www.ebay.com/itm/LOT-of-6-pcs-ANCIENT-ROMAN-BYZANTINE-AND-MEDIEVAL-FINGER-RINGS/223303587256?hash=item33fdee55b8%3Ag%3AamYAAOSwQqZcKAmc&LH_Auction=1
2019-01-09 00:00:00,"Sold  Jan 9, 2019 3 Ancient Neolithic Flint Arrowheads, Stone Age, VERY RARE !!  TOP !!",6.73,Germany,Pre-historic,?,https://www.ebay.com/itm/3-Ancient-Neolithic-Flint-Arrowheads-Stone-Age-VERY-RARE-TOP/143079450437?hash=item2150332745%3Ag%3A3aoAAOSwOt5cL1zt&LH_Auction=1
2018-11-25 00:00:00,"Sold  Nov 25, 2018 ROMAN ANCIENT ARTIFACT SILVER LEGIONARY RING WITH EAGLE",66.85,Greece,Roman,?,https://www.ebay.com/itm/ROMAN-ANCIENT-ARTIFACT-SILVER-LEGIONARY-RING-WITH-EAGLE/173648051284?hash=item286e3afc54%3Ag%3AltsAAOSwtvZb8aZO&LH_Auction=1
2018-12-18 00:00:00,"Sold  Dec 18, 2018 Very  old amazing  Egyptian faience  animal  amuelt",15.0,,Egyptian,?,
2018-11-12 00:00:00,"Sold  Nov 12, 2018 EXTREMELY Ancient VIKING BRONZE RING museum quality ARTIFACT VERY AMAZING",9.99,Morocco,Viking,?,https://www.ebay.com/itm/EXTREMELY-Ancient-VIKING-BRONZE-RING-museum-quality-ARTIFACT-VERY-AMAZING/253966702659?hash=item3b21985843%3Ag%3A9GEAAOSwV1Vb4GzG&LH_Auction=1
2019-01-02 00:00:00,"Sold  Jan 2, 2019 AUTHENTIC MEDIEVAL CRUSADERS BRONZE RING W/ STAR & MOON - WEARABLE - H836",36.12,United Kingdom,Near east,?,https://www.ebay.com/itm/AUTHENTIC-MEDIEVAL-CRUSADERS-BRONZE-RING-W-STAR-MOON-WEARABLE-H836/254033281699?hash=item3b259042a3%3Ag%3AsR8AAOSwuUlcG3HZ&LH_Auction=1
2019-01-16 00:00:00,"Sold  Jan 16, 2019 AUTHENTIC MEDIEVAL VIKING ERA RING W/ DRAGON OR BEAST  - H978",27.1,United Kingdom,Viking,?,https://www.ebay.com/itm/AUTHENTIC-MEDIEVAL-VIKING-ERA-RING-W-DRAGON-OR-BEAST-H978/254053280286?hash=item3b26c16a1e%3Ag%3A2C0AAOSwN3NcL5LM&LH_Auction=1
2018-12-22 00:00:00,"Sold  Dec 22, 2018 Roman Horse Strap Fitting",14.84,United States,Roman,?,https://www.ebay.com/itm/Roman-Horse-Strap-Fitting/273605582176?hash=item3fb429dd60%3Ag%3ALmYAAOSwtINcD86U&LH_Auction=1
2018-11-04 00:00:00,"Sold  Nov 4, 2018 Colorful (7/8"") Sahara Neolithic Stone Pendant, Prehistoric African Artifact",9.99,United States,Pre-historic,?,https://www.ebay.com/itm/Colorful-7-8-Sahara-Neolithic-Stone-Pendant-Prehistoric-African-Artifact/372479221007?hash=item56b97ddd0f%3Ag%3AYmQAAOSwLEVbpTHV&LH_Auction=1
2019-01-04 00:00:00,"Sold  Jan 4, 2019 LOVELY GROUP OF ANCIENT VIKING DECORATED GLASS BEADS",30.0,Russia,Viking,?,https://www.ebay.com/itm/LOVELY-GROUP-OF-ANCIENT-VIKING-DECORATED-GLASS-BEADS/183603719914?hash=item2abfa26eea%3Ag%3Ai6cAAOSwohVcIiPe&LH_Auction=1
2018-12-02 00:00:00,"Sold  Dec 2, 2018 SL02 ANCIENT ROMAN ENGRAVED BRONZE FINGER RING /258/",22.93,Serbia,Roman,?,https://www.ebay.com/itm/SL02-ANCIENT-ROMAN-ENGRAVED-BRONZE-FINGER-RING-258/283273228332?hash=item41f466702c%3Ag%3AG8QAAOSwZKJb9op7&LH_Auction=1
2018-11-11 00:00:00,"Sold  Nov 11, 2018 Ancient Rome bronze ring.Metal detector finds",8.0,United Kingdom,Roman,?,https://www.ebay.com/itm/Ancient-Rome-bronze-ring-Metal-detector-finds/264033274865?hash=item3d799c0bf1%3Ag%3AHewAAOSwjt1b2YFf&LH_Auction=1
2018-10-29 00:00:00,"Sold  Oct 29, 2018 Roman Bronze Bracelet",8.39,,Roman,?,
2018-12-09 00:00:00,"Sold  Dec 9, 2018 8 Ancient Neolithic Rock Crystal, Quartz Beads, Stone Age, VERY RARE !!",5.51,Germany,Pre-historic,?,https://www.ebay.com/itm/8-Ancient-Neolithic-Rock-Crystal-Quartz-Beads-Stone-Age-VERY-RARE/153290179368?hash=item23b0ce8328%3Ag%3A3KkAAOSwzaJcBrlY&LH_Auction=1
2018-12-16 00:00:00,"Sold  Dec 16, 2018 LARGE GROUP OF ANCIENT ROMAN FIBULAS FOR REPAIR OR RESTORATION",1.6,United Kingdom,Roman,?,https://www.ebay.com/itm/LARGE-GROUP-OF-ANCIENT-ROMAN-FIBULAS-FOR-REPAIR-OR-RESTORATION/153291039190?hash=item23b0dba1d6%3Ag%3AbTkAAOSwRrlcB5vU&LH_Auction=1
2018-12-09 00:00:00,"Sold  Dec 9, 2018 2767	Ancient Roman billon ring with a decoration 19 mm, perfect",10.97,United Kingdom,Roman,?,https://www.ebay.com/itm/2767-Ancient-Roman-billon-ring-with-a-decoration-19-mm-perfect/183557850513?hash=item2abce68591%3Ag%3A92YAAOSwuUlb%7Ehse&LH_Auction=1
2019-01-04 00:00:00,"Sold  Jan 4, 2019 Roman Bronze Old Wonderful Unique King and Queen Pendant",9.99,,Roman,?,
2018-12-10 00:00:00,"Sold  Dec 10, 2018 3 Ancient Celtic Glass Beads Celts VERY RARE!  TOP !!",36.99,Germany,Celt,?,https://www.ebay.com/itm/3-Ancient-Celtic-Glass-Beads-Celts-VERY-RARE-TOP/143040656654?hash=item214de3350e%3Ag%3Ac44AAOSwPrdcB%7ET2&LH_Auction=1
2018-10-22 00:00:00,"Sold  Oct 22, 2018 Roman Ceramic Jug",38.72,United Kingdom,Roman,?,https://www.ebay.com/itm/Roman-Ceramic-Jug/263991568055?hash=item3d771fa6b7%3Ag%3A1xMAAOSwHgRbx1Wr&LH_Auction=1
2018-12-08 00:00:00,"Sold  Dec 8, 2018 Very Fine Sahara Neolithic Angelfish Point - Translucent - Serrated - Authentic",21.5,United States,Pre-historic,?,https://www.ebay.com/itm/Very-Fine-Sahara-Neolithic-Angelfish-Point-Translucent-Serrated-Authentic/264063660129?hash=item3d7b6bb061%3Ag%3AKbAAAOSwS4Vb%7Eq8A&LH_Auction=1
2018-11-10 00:00:00,"Sold  Nov 10, 2018 Rare Ancient VIKING SILVER Bronze RING 9-10 AD century ARTIFACT Magnificent RING",3.25,Morocco,Viking,?,https://www.ebay.com/itm/Rare-Ancient-VIKING-SILVER-Bronze-RING-9-10-AD-century-ARTIFACT-Magnificent-RING/173617289519?hash=item286c65992f%3Ag%3AfYAAAOSwpw5byxem&LH_Auction=1
2018-11-18 00:00:00,"Sold  Nov 18, 2018 RARE NEAR EASTERN SEAL 300 BC (3)",16.13,United Kingdom,Near east,?,https://www.ebay.com/itm/RARE-NEAR-EASTERN-SEAL-300-BC-3/312317418932?hash=item48b7919db4%3Ag%3A5NUAAOSwJd1b6tG6&LH_Auction=1
2019-01-17 00:00:00,"Sold  Jan 17, 2019  extremely ancient old ring bronze legionary roman ring bronze rare type",10.99,,Roman,?,
2018-11-22 00:00:00,"Sold  Nov 22, 2018 EXTREMELY RARE COMPACT BYZANTINE ENAMEL DECORATION BUCKLE+++",39.99,Norway,Byzantine,?,https://www.ebay.com/itm/EXTREMELY-RARE-COMPACT-BYZANTINE-ENAMEL-DECORATION-BUCKLE/223232471428?hash=item33f9b13184%3Ag%3AjAEAAOSw6gRbfJVN&LH_Auction=1
2018-12-05 00:00:00,"Sold  Dec 5, 2018 Stunning Early Saxon bronze fibula",14.33,Ukraine,Viking,?,https://www.ebay.com/itm/Stunning-Early-Saxon-bronze-fibula/401646444464?hash=item5d83fe5fb0%3Ag%3A5noAAOSwEwhb%7EoXP&LH_Auction=1
2018-12-18 00:00:00,"Sold  Dec 18, 2018 rare ancient antique roman authentic ring bronze with stone white",5.0,Morocco,Roman,?,https://www.ebay.com/itm/rare-ancient-antique-roman-authentic-ring-bronze-with-stone-white/173687943489?hash=item28709bb141%3Ag%3Ay7UAAOSwRYNcEQ7V&LH_Auction=1
