Object,Price,Figure
"Sold  Dec 21, 2018 Sword of the Viking. Battle Sword. Original condition. Length 87 cm",$310.00,4432.jpg
"Sold  Dec 19, 2018 Ancient Celtic AE ring money very fine Circa 500 BC 27 mm 13.6 grams",$0.99,1260.jpg
"Sold  Dec 19, 2018 CELTC  BEADS ANCIENT bronz BEADS",$0.97,2519.jpg
"Sold  Dec 19, 2018 Ancient Teracotta Bird Indus Valley 800 BC NO RESERVE  #TR15368",$29.99,1963.jpg
"Sold  Dec 18, 2018 AMAZING ANCIENT BRONZE EARLY CELTIC AXE",$43.20,7882.jpg
"Sold  Dec 18, 2018 LOT OF 500 ANCIENT BRONZE ARROW HEAD 1.050 kg",$999.00,9168.jpg
"Sold  Dec 17, 2018 2 Ancient Celtic Glass Beads Celts VERY RARE!  TOP !!",$0.99,6060.jpg
"Sold  Dec 16, 2018 **IRON AGE**Ancient Silver  CELTIC Ring **LA TENE ** 500BC** PEACOCK **",$60.00,12504.jpg
"Sold  Dec 16, 2018 CELTIC BRONZE RING ARTEFACT EVIL EYE",$10.50,3189.jpg
"Sold  Dec 16, 2018 CELTIC BRONZE  SOCK APPLICATION",$0.99,4234.jpg
"Sold  Dec 16, 2018 > ANCIENT CELTIC BRONZE STAMP ENGRAVED RING < NUDE MAN FIGURE WITH PHALLUS",$26.00,1650.jpg
"Sold  Dec 16, 2018 AMAZING ENGRAVED ANCIENT SILVER ROMAN RING - unique shape . circa IV century",$35.00,80.jpg
"Sold  Dec 16, 2018 >>> AMAZING ANCIENT CELTIC SILVER RING <<< 2 SNAKE HEADS - HOLLOW ART WORK",$115.05,12428.jpg
"Sold  Dec 16, 2018 >>> MARS <<< ANCIENT ROMAN SILVER RING WITH IMAGE OF GOD MARS .circa 150 AD",$131.00,3824.jpg
"Sold  Dec 16, 2018 CELTIC TWO HEAD HORSE WHEEL MONEY-400bc",$10.49,8485.jpg
"Sold  Dec 16, 2018 ANCIENT BEADS, Ancient Roman Bronze Beads",$0.99,4993.jpg
"Sold  Dec 16, 2018   2 Nice authentic  bronze Ancient Celtic ring money, 800-500 BC",$1.99,10393.jpg
"Sold  Dec 16, 2018 1 Ancient Celtic Glass Bead Celts VERY RARE!  TOP !!",$5.00,7582.jpg
"Sold  Dec 16, 2018 ANCIENT CELTIC ROMAN ENAMELED BRONZE HAIR - DRESS PIN - 200/100 BC - RARE",$21.51,4090.jpg
"Sold  Dec 16, 2018 ANCIENT CELTIC BRONZE SOLAR FIBULA BROOCH - 200 BC - RARE",$1.00,4836.jpg
"Sold  Dec 16, 2018 3 PIECES ANCIENT ROMAN LEGIONARY LEAD WHISTLE - 100 AD - RARE!",$68.00,6633.jpg
"Sold  Dec 16, 2018 SUPERB DECORATED BRONZE AGE RING - 2000/1500 BC - RARE!",$10.50,2889.jpg
"Sold  Dec 15, 2018 Ancient Celtic ring with Rune Inguz.",$7.00,8501.jpg
"Sold  Dec 15, 2018 ANCIENT BILON PARFUM PENDANT HOLDER FERTILITY",$4.60,3478.jpg
"Sold  Dec 15, 2018  Perfect-Ancient-Celtic-Bronze-Ring-Pendant-Proto-Money-Pre-Coin-Wearable-224  P",$22.50,11986.jpg
"Sold  Dec 15, 2018 NEOLITHIC VINCA CULTURE TERRACOTTA BEADS - 12 PIECES - 5000 BC",$11.00,2012.jpg
"Sold  Dec 15, 2018 ANCIENT CELTIC GLASS BIRD BEAD  - 400 BC - RARE - WEARABLE!",$54.00,435.jpg
"Sold  Dec 15, 2018 ANCIENT CELTIC GLASS BEAD  - 400 BC - RARE",$28.00,7355.jpg
"Sold  Dec 15, 2018 ANCIENT CELTIC GLASS PASTE BEADS - 5 PIECES - 400 BC - RARE",$36.00,6253.jpg
"Sold  Dec 15, 2018 3 Ancient Celtic Glass Beads Celts VERY RARE!  TOP !!",$37.99,1945.jpg
"Sold  Dec 14, 2018 Great Ancient Celts Axe",$14.99,12363.jpg
"Sold  Dec 14, 2018 Great Ancient Celts Axe",$14.99,12363.jpg
"Sold  Dec 14, 2018 ANCIENT BRONZE EARLY CELTIC AXE",$48.00,11002.jpg
"Sold  Dec 14, 2018 BRONZE CELTIC AXE NICE",$79.00,237.jpg
"Sold  Dec 14, 2018 BRONZE CELTIC AXE LONG",$158.50,1360.jpg
"Sold  Dec 14, 2018 ANCIENT CELTIC BRONZE HAIR - DRESS PIN WITH BIRD ON TOP - 200/100 BC - RARE",$5.00,8551.jpg
"Sold  Dec 14, 2018 Arrowheads. arrows Kievan Rus 11-14 century 7 pieces",$10.50,10225.jpg
"Sold  Dec 13, 2018 European Bronze Age sickle. Unusual shape From point to tang end 8 1/2""",$70.00,10840.jpg
"Sold  Dec 13, 2018 Lot of 9 Celtic rings proto money, 5th century BC",$3.00,12302.jpg
"Sold  Dec 12, 2018 Ancient Celtic Roman iron battle axe",$6.00,12984.jpg
"Sold  Dec 12, 2018 RARE Celtic Ring Money Proto Coin From 800 BC Artifact Valued $300 Ancient",$12.50,9917.jpg
"Sold  Dec 11, 2018 Long Celtic Sword Scythian Sword 100% Authentic",$300.00,1704.jpg
"Sold  Dec 11, 2018 Ancient rings  Ancient MIX  find №271 Metal detector finds 100% original",$15.00,7603.jpg
"Sold  Dec 10, 2018 Socketed Bronze Age Spearhead",$35.56,10042.jpg
"Sold  Dec 10, 2018 3 Ancient Celtic Glass Beads Celts VERY RARE!  TOP !!",$36.99,1945.jpg
"Sold  Dec 10, 2018 3 Ancient Celtic Clay Beads Celts VERY RARE!  TOP !!",$3.25,4805.jpg
"Sold  Dec 9, 2018 Antique Celtic Brooch Penannular Fibula Silver Large 6.75"" Wide Vintage Viking",$100.99,1923.jpg
"Sold  Dec 9, 2018 CELTIC BRONZE Bead",$0.99,11569.jpg
"Sold  Dec 9, 2018 WOLF HEAD * BRONZE CELTIC RING *",$3.25,7462.jpg
"Sold  Dec 9, 2018 CELTIC Bronze WHEEL PROTO Coin 800 BC - 400 BC Celtic MONEY",$14.50,10819.jpg
"Sold  Dec 9, 2018 ANCIENT CELTIC DRUIDS BRONZE PENDANT- 300/200 BC - WEARABLE",$6.50,4258.jpg
"Sold  Dec 9, 2018 ANCIENT CELTIC DRUIDS BRONZE PENDANT- 300/200 BC - WEARABLE",$1.50,4258.jpg
"Sold  Dec 9, 2018 ANCIENT CELTIC DRUIDS BRONZE PENDANT- 300/200 BC - WEARABLE",$5.50,4258.jpg
"Sold  Dec 9, 2018 ANCIENT CELTIC DRUIDS BRONZE PENDANT- 300/200 BC - WEARABLE",$1.00,4258.jpg
"Sold  Dec 9, 2018 ANCIENT CELTIC DRUIDS BRONZE PENDANT- 300/200 BC - WEARABLE",$13.50,4258.jpg
"Sold  Dec 9, 2018 ANCIENT CELTIC DRUIDS BRONZE PENDANT FOR AROMATIC OILS - 300/200 BC - WEARABLE",$6.50,5660.jpg
"Sold  Dec 9, 2018 ANCIENT CELTIC ROMAN GILDES BRONZE HAIR - DRESS PIN  - RARE",$18.50,3727.jpg
"Sold  Dec 9, 2018 Roman silver child brooch",$20.50,557.jpg
"Sold  Dec 9, 2018 Roman silver phallic amulet",$75.85,392.jpg
"Sold  Dec 9, 2018 Celtic brooch #2",$34.00,6311.jpg
"Sold  Dec 9, 2018 Roman silver medical tool",$32.00,11959.jpg
"Sold  Dec 9, 2018 Celtic brooch",$21.50,11227.jpg
"Sold  Dec 9, 2018 lot of 5 Roman and Celtic brooch #2",$37.00,12187.jpg
"Sold  Dec 9, 2018 Roman silver zoomorphic military fitting",$33.00,992.jpg
"Sold  Dec 9, 2018 Roman zoomorphic brooch with niello work",$15.50,2879.jpg
"Sold  Dec 9, 2018 Roman enamelled zoomorphic brooch",$37.88,9024.jpg
"Sold  Dec 9, 2018  ROMAN  APPLIQUE",$0.99,10761.jpg
"Sold  Dec 9, 2018 Barbarian / Celtic bracelet",$78.00,4597.jpg
"Sold  Dec 9, 2018 Roman zoomorphic brooch",$15.50,11030.jpg
"Sold  Dec 9, 2018 lot of 5 Roman medical tool",$48.68,10194.jpg
"Sold  Dec 9, 2018 Roman silver brooch",$58.00,4751.jpg
"Sold  Dec 9, 2018 lot of 5 Roman and Celtic brooch",$41.00,3616.jpg
"Sold  Dec 9, 2018 Roman military fitting and buckle",$6.00,9787.jpg
"Sold  Dec 9, 2018 Roman military brooch",$18.50,11469.jpg
"Sold  Dec 9, 2018  GREAT ROMAN   APPLIQUE",$0.99,5472.jpg
"Sold  Dec 9, 2018 ANCIENT CELTIC SILVER AX AXE AMULET WITH SOLAR SYMBOLS - ULTRA RARE! 600 BC",$6.50,11818.jpg
"Sold  Dec 9, 2018 ANCIENT CELTIC BRONZE SOLAR AMULET WITH BEAUTIFUL DETAILS  - 400 BC",$6.50,11907.jpg
"Sold  Dec 9, 2018 ANCIENT CELTIC ROMAN BRONZE HAIR - DRESS PIN WITH SOLAR DECORATIONS - RARE",$23.00,3555.jpg
"Sold  Dec 9, 2018 ANCIENT CELTIC ROMAN SILVERED BRONZE HAIR - DRESS PIN - 100 BC - RARE",$19.00,12853.jpg
"Sold  Dec 9, 2018 ANCIENT CELTIC BRONZE AXE AX AMULET PENDANT - 600/400 BC - RARE - WEARABLE! 1",$20.50,9133.jpg
"Sold  Dec 9, 2018 HOARD OF 10 ANCIENT CELTIC DECORATIVE BRONZE BELLS - 100 BC - FOUND TOGETHER!",$56.50,768.jpg
"Sold  Dec 9, 2018 5 PIECES ANCIENT CELTIC INTACT OMEGA FIBULAE BROOCHES - 300/200 BC - RARE!",$24.39,9030.jpg
"Sold  Dec 9, 2018 BRONZE AGED ANCIENT HAIR PIN DRESS needle / Big Size 21 cm beautiful decorated",$70.00,7927.jpg
"Sold  Dec 9, 2018 ANCIENT CELTIC BRONZE SOLAR DECORATION AMULET  - 200/100 BC - WEARABLE",$1.00,6649.jpg
"Sold  Dec 9, 2018 SUPERB ANCIENT CELTIC BRONZE RING  -  200/100 BC",$1.00,12137.jpg
"Sold  Dec 9, 2018 ANCIENT CELTIC BILON SILVER PENDANT AMULET - 300/200 BC - RARE!",$8.50,6064.jpg
"Sold  Dec 9, 2018 SUPERB 119 mm LONG BRONZE AGE SPEAR HEAD - 2000 BC",$26.00,12377.jpg
"Sold  Dec 9, 2018 INTACT BRONZE AGE ILLYRIAN WOMEN BRACELET  - 1000 BC. - RARE",$8.50,3160.jpg
"Sold  Dec 9, 2018 INTACT ANCIENT CELTIC SILVER HAIR - DRESS PIN WITH BEAD - 200/100 BC - RARE",$13.50,9331.jpg
"Sold  Dec 9, 2018 ANCIENT CELTIC BRONZE SOLAR AMULET - WEARABLE  - 400 BC",$11.00,3148.jpg
"Sold  Dec 9, 2018 ANCIENT CELTIC BRONZE SOLAR AMULET DECORATION - 200/100 BC",$5.50,3444.jpg
"Sold  Dec 9, 2018 PAIR OF ANCIENT CELTIC BRONZE AMULET DECORATION WITH SOLAR SYMBOLS - 100 BC",$4.00,5388.jpg
"Sold  Dec 9, 2018 ANCIENT CELTIC  SILVER BELT BUCKLE - 200 BC - RARE!",$5.00,1807.jpg
"Sold  Dec 9, 2018 INTACT ANCIENT CELTIC BRONZE BRACELET  - 300 BC.",$1.00,3049.jpg
"Sold  Dec 9, 2018 PART OF ANCIENT CELTIC WARRIORS BRONZE BELT  - 400/300 BC. - EXTREMELY RARE!",$1.00,1952.jpg
"Sold  Dec 9, 2018 BRONZE AGE - CELTIC BRONZE SICKLE - 1000 BC - RARE",$41.00,7280.jpg
"Sold  Dec 9, 2018 SUPERB ANCIENT CELTIC BRONZE DECORATION - 300/200 BC - RARE",$1.25,8291.jpg
"Sold  Dec 9, 2018 LARGE ANCIENT CELTIC BRONZE SOLAR AMULET DECORATION - 200 BC - RARE",$5.50,6556.jpg
"Sold  Dec 9, 2018 RARE LA TENE CULTURE BRONZE FIBULA BROOCH - COMPLETE - BEAUTIFUL!",$3.25,10216.jpg
"Sold  Dec 9, 2018 ANCIENT CELTIC WARRIORS BRONZE BELT DECORATIONS - 400/300 B.C.",$1.00,3227.jpg
"Sold  Dec 9, 2018 SUPERB ANCIENT CELTIC BRONZE SOLAR DECORATION - 200 BC - RARE!",$5.50,2634.jpg
"Sold  Dec 9, 2018 SCARCE CELTIC BRONZE DECORATED FIBULA BROOCH WITH TWO PINS - 400 BC - RARE",$5.50,12360.jpg
"Sold  Dec 9, 2018 BRONZE AGE SOLAR FIBULA BROOCH - 800 BC - RARE",$1.00,10595.jpg
"Sold  Dec 8, 2018 ANCIENT BRONZE BRACELET TWO SNAKE HEADS",$2.99,6834.jpg
"Sold  Dec 8, 2018  Perfect-Ancient-Celtic-Bronze-Ring-Pendant-Proto-Money",$4.99,9101.jpg
"Sold  Dec 8, 2018 RARE LATENE PERIOD BRONZE FIBULA",$4.99,4767.jpg
"Sold  Dec 7, 2018 Ancient Celtic bronze ornament",$2.60,2694.jpg
"Sold  Dec 6, 2018 Sword of the Viking. The Vikings. Combat Sword. 84 cm",$910.00,9906.jpg
"Sold  Dec 6, 2018 Sword of the Viking. The Vikings. Combat Sword.",$481.00,12213.jpg
"Sold  Dec 6, 2018 Big Sword of the Viking. The Vikings. Combat Sword.",$511.00,11190.jpg
"Sold  Dec 6, 2018 ** BEAUTIFULL ** Ancient CELTIC Bronze ring ** TWO HORSES **",$54.00,11085.jpg
"Sold  Dec 5, 2018 4 Ancient Celtic Glass Beads Celts VERY RARE!  TOP !!",$13.50,12456.jpg
"Sold  Dec 3, 2018 Scythian ritual sword / saber. Ritual sword murder.",$207.50,11838.jpg
"Sold  Dec 3, 2018 Scythian ritual sword / saber. Ritual sword murder.",$300.00,11838.jpg
"Sold  Dec 3, 2018 Arrowheads The Khazars 5th century. Different types of arrows and other accessor",$306.99,1660.jpg
"Sold  Dec 3, 2018 Arrowheads The Khazars 5th century. Different types of arrows and other accessor",$210.05,1660.jpg
"Sold  Dec 3, 2018 Helmet of ancient Rus-12 century - ""Polovtsy"". Original condition. Without resto",$504.00,8624.jpg
"Sold  Dec 2, 2018 Meotian sword. Meoty. 4th century. Very good condition. Length 70 cm.",$510.00,12068.jpg
