Object,Price,Figure
"Sold  Dec 27, 2018 Celtic Sword - Spata, 3-4 century AD",$232.51,4944.jpg
"Sold  Dec 27, 2018 AUTHENTIC CELTIC TERRACOTTA HOUSE ALTAR AND IDOLS - 400 BC - FOUND TOGETHER",$44.00,9358.jpg
"Sold  Dec 26, 2018 RARE Celtic Ring Money Proto Coin From 800 BC Artifact Valued $300 Ancient",$15.50,9457.jpg
"Sold  Dec 26, 2018 Ancient Celtic Bronze Armlet",$42.50,1191.jpg
"Sold  Dec 25, 2018 Authentic Celtic  Proto Money",$5.50,4829.jpg
"Sold  Dec 25, 2018 ANCIENT CELTIC GLASS PASTE BEADS - 5 PIECES - 400 BC - RARE",$20.50,5969.jpg
"Sold  Dec 23, 2018 ** CROSS ** CELTIC BONE AMULET PENDANT 100 AD * RARE !!",$26.00,4166.jpg
"Sold  Dec 23, 2018 Celtic ancient  proto coins rings , Viking payment ingots 1-4 century BC",$1.25,722.jpg
"Sold  Dec 23, 2018 Bronze Age hair ring - insignia of rank",$5.50,3785.jpg
"Sold  Dec 23, 2018 Celtic iron brooch",$15.50,7753.jpg
"Sold  Dec 23, 2018 Lot of 7 Roman and Celtic brooch",$41.00,4124.jpg
"Sold  Dec 23, 2018 Early Iron Age Astragalos Belt - Hallstatt Culture",$95.00,11830.jpg
"Sold  Dec 23, 2018 Late Bronze Age Socketed Axe",$94.39,7755.jpg
"Sold  Dec 23, 2018 Roman silver trumpet brooch",$34.00,11095.jpg
"Sold  Dec 23, 2018 Romano- british cockerel formed brooch",$27.00,3085.jpg
"Sold  Dec 23, 2018 Roman zoomorphic knee brooch",$94.00,7471.jpg
"Sold  Dec 23, 2018 Lot of 7 Barbarian medals/ amulets",$8.50,6637.jpg
"Sold  Dec 23, 2018 Roman legionary fitting - buckle plate",$7.50,9609.jpg
"Sold  Dec 23, 2018 Roman silver finger ring with engraved letters",$22.50,2465.jpg
"Sold  Dec 23, 2018 Roman seal ring with engraved emeror on ship",$3.00,1396.jpg
"Sold  Dec 23, 2018 Roman seal ring with engraved lion",$4.26,1386.jpg
"Sold  Dec 23, 2018 Roman silver medical tool",$16.50,11404.jpg
"Sold  Dec 23, 2018 Lot of 5 Roman and Celtic brooch",$36.00,11101.jpg
"Sold  Dec 23, 2018 ANCIENT BYZANTINE PARFUM  HOLDER PENDANT",$0.99,1511.jpg
"Sold  Dec 23, 2018  Perfect-Ancient-Celtic-Bronze-Ring-Pendant-Proto-Money-Pre-Coin-Wearable-224  P",$53.00,11430.jpg
"Sold  Dec 23, 2018 LONG PHALIC FERTILITY BRONZE AMULET",$21.00,7832.jpg
"Sold  Dec 23, 2018 beautiful CELTIC DECORATED HAIR PIN",$9.99,7128.jpg
"Sold  Dec 23, 2018 ANCIENT LA TENE PERIOD CELTIC BRONZE FIBULA  - RARE !",$14.00,8086.jpg
"Sold  Dec 23, 2018 A286, Celtic style bronze ring money.",$13.00,763.jpg
"Sold  Dec 22, 2018 ANCIENT LA TENE PERIOD CELTIC BRONZE FIBULA  - RARE !",$13.50,8086.jpg
"Sold  Dec 22, 2018 3 Ancient Celtic Glass Beads Celts VERY RARE!  TOP !!",$8.39,1866.jpg
"Sold  Dec 22, 2018 A384.Celtic style figurine of warrior.",$17.00,11739.jpg
"Sold  Dec 22, 2018 A378. Celtic style bronze horse figurine",$19.00,11089.jpg
"Sold  Dec 21, 2018 Sword of the Viking. The Vikings. Combat Sword. 86 cm",$856.00,9428.jpg
"Sold  Dec 21, 2018 Meotian sword. Meoty. 4th century. Very good condition. Length 70 cm.",$352.75,11507.jpg
"Sold  Dec 21, 2018 Sword of the Viking. Battle Sword. Original condition. Length 87 cm",$310.00,4225.jpg
"Sold  Dec 19, 2018 Ancient Celtic AE ring money very fine Circa 500 BC 27 mm 13.6 grams",$0.99,1212.jpg
"Sold  Dec 19, 2018 CELTC  BEADS ANCIENT bronz BEADS",$0.97,2413.jpg
"Sold  Dec 19, 2018 Ancient Teracotta Bird Indus Valley 800 BC NO RESERVE  #TR15368",$29.99,1883.jpg
"Sold  Dec 18, 2018 AMAZING ANCIENT BRONZE EARLY CELTIC AXE",$43.20,7535.jpg
"Sold  Dec 18, 2018 LOT OF 500 ANCIENT BRONZE ARROW HEAD 1.050 kg",$999.00,8751.jpg
"Sold  Dec 17, 2018 2 Ancient Celtic Glass Beads Celts VERY RARE!  TOP !!",$0.99,5781.jpg
"Sold  Dec 16, 2018 **IRON AGE**Ancient Silver  CELTIC Ring **LA TENE ** 500BC** PEACOCK **",$60.00,11917.jpg
"Sold  Dec 16, 2018 CELTIC BRONZE RING ARTEFACT EVIL EYE",$10.50,3054.jpg
