Object,Price,Figure
"Sold  Jan 12, 2019 Roman seal ring with engraved lion",$3.25,1387.jpg
"Sold  Jan 12, 2019 Celtic brooches",$15.50,7646.jpg
"Sold  Jan 12, 2019 Roman brooch",$18.50,4228.jpg
"Sold  Jan 12, 2019 Roman zoomorphic brooch",$22.50,10529.jpg
"Sold  Jan 12, 2019 Roman protective amulet",$0.99,11723.jpg
"Sold  Jan 12, 2019 Roman seal / signet ring",$5.00,2206.jpg
"Sold  Jan 12, 2019 Roman silver writing tool- stylus",$31.00,5020.jpg
"Sold  Jan 12, 2019 Roman iron key",$2.25,4300.jpg
"Sold  Jan 12, 2019 Roman medical equipment",$378.00,5879.jpg
"Sold  Jan 12, 2019 Lot of 5 Roman and Celtic brooch #2",$36.55,3365.jpg
"Sold  Jan 12, 2019 Lot of 5 Roman and Celtic brooch",$76.00,11119.jpg
"Sold  Jan 12, 2019 Roman silvered knee brooch",$20.50,11356.jpg
"Sold  Jan 12, 2019 Roman legionary brooch",$32.00,10363.jpg
"Sold  Jan 12, 2019 2 types bronze arrow heads - Bronze Age",$16.50,6040.jpg
"Sold  Jan 12, 2019 Celtic brooch - Bronze Age #2",$18.50,6758.jpg
"Sold  Jan 12, 2019 Celtic brooch - Bronze Age",$21.50,5301.jpg
"Sold  Jan 11, 2019 Saber / Sword of Khazar Khaganate (about 8 - 9 centuries) ORIGINAL! Length 72 cm",$172.50,9655.jpg
"Sold  Jan 11, 2019 Saber / Sword of Khazar Khaganate (about 8 - 9 centuries) ORIGINAL! Length 80 cm",$170.00,6.jpg
"Sold  Jan 11, 2019 Sword of the Viking. The Vikings. Big Battle/Combat sword.",$999.00,8032.jpg
"Sold  Jan 11, 2019  ANCIENT CELTIC VOTIVE BRONZE KNIFE AMULET PENDANT.",$19.99,841.jpg
"Sold  Jan 11, 2019  ANCIENT CELTIC  BRONZE MIRROR .",$29.99,10851.jpg
"Sold  Jan 9, 2019 DANUBIAN HORSEMAN CULT ANCIENT CELTIC ROMAN LEAD VOTIVE PLAQUE 1-3 ct.AD 84 mm",$200.00,9985.jpg
"Sold  Jan 9, 2019 Lot 6 Ancient celtic bronze ring money proto coin circa 500 BC",$10.00,7621.jpg
"Sold  Jan 9, 2019 Amulet bronze replica SELTIC",$0.99,7411.jpg
"Sold  Jan 8, 2019 Celtic ring/proto money...odd shape! Rare.",$3.99,7462.jpg
"Sold  Jan 8, 2019 Celtic ring/proto money, odd shapes!  Rare.",$3.99,3565.jpg
"Sold  Jan 8, 2019 Celtic ring/proto money...odd shape!   Rare.",$3.99,4089.jpg
"Sold  Jan 7, 2019 Scythian bronze helmet. Scythians.  3-6 centuries AD. Skythischer Bronze-Helm.","$1,500.00",1807.jpg
"Sold  Jan 6, 2019 216743291",$250.00,7425.jpg
"Sold  Jan 6, 2019 Scythian bronze helmet. Scythians. About 1-3 century.","$2,425.00",388.jpg
"Sold  Jan 6, 2019 Sword of the Viking. The Vikings. Combat Sword.","$3,051.55",11655.jpg
"Sold  Jan 6, 2019 Meotian sword. Meoty. 4th century. Very good condition. Length 70 cm.",$610.00,11526.jpg
"Sold  Jan 6, 2019 Two head SNAKE ** CELTIC / ROMAN Bronze RING **",$3.84,906.jpg
"Sold  Jan 6, 2019 FERTILITY BRONZE PENDANT ROMAN",$0.99,937.jpg
"Sold  Jan 6, 2019 Rare ROMAN Artifact - Military Legionary Lead WHISTLE",$19.99,9973.jpg
"Sold  Jan 6, 2019 ANCIENT BRONZE SNAKE BRACELET",$3.99,3182.jpg
"Sold  Jan 6, 2019 SILVER LARGE LA TENE CELTIC TYPE BROOCH / FIBULA",$19.99,9481.jpg
"Sold  Jan 6, 2019  Perfect-Ancient-Celtic-Bronze-Ring-Pendant-Proto-Money",$19.38,8708.jpg
"Sold  Jan 4, 2019 Roman zoomorphic knee brooch",$49.00,7483.jpg
"Sold  Jan 4, 2019 Lot of 3 Roman trumpet brooch",$26.51,1574.jpg
"Sold  Jan 4, 2019 Romano- British Horseman formed brooch with enamel",$51.00,11664.jpg
"Sold  Jan 4, 2019 Roman iron arrow- head",$3.25,6953.jpg
"Sold  Jan 4, 2019 Roman enamelled plate brooch",$26.00,3548.jpg
"Sold  Jan 4, 2019 Roman bronze spoon",$26.00,4111.jpg
"Sold  Jan 4, 2019 Roman bird formed brooch",$6.06,2336.jpg
"Sold  Jan 4, 2019 Lot of 5 Roman and Celtic brooch",$36.00,11119.jpg
"Sold  Jan 4, 2019 Roman openwork brooch",$15.50,11319.jpg
"Sold  Jan 4, 2019 Roman zoomorphic brooch with niello work",$16.50,2758.jpg
"Sold  Jan 4, 2019 Romano- British zoomorphic brooch",$26.00,113.jpg
"Sold  Jan 4, 2019 Celtic axe formed amulet",$20.50,11506.jpg
"Sold  Jan 4, 2019 Celtic brooch",$17.50,10717.jpg
"Sold  Jan 4, 2019 Roman iron scale- libra",$10.00,1003.jpg
"Sold  Jan 4, 2019 Roman bronze key",$5.50,4378.jpg
"Sold  Jan 4, 2019 Roman military brooch with engraved concentric pattern",$26.00,4420.jpg
"Sold  Jan 4, 2019 3 Ancient Celtic Glass Beads Celts VERY RARE!  TOP !!",$15.50,1867.jpg
"Sold  Jan 3, 2019 Scythian ritual sword / saber. Ritual sword murder.",$182.50,11305.jpg
"Sold  Jan 2, 2019  ANCIENT CELTIC  BRONZE MIRROR .",$32.00,10851.jpg
"Sold  Jan 2, 2019 CELTIC ** Silver RING ** MANS WEDDING BAND ** GREAT",$20.00,5093.jpg
"Sold  Jan 2, 2019  ANCIENT CELTIC VOTIVE BRONZE KNIFE AMULET PENDANT.",$37.00,841.jpg
"Sold  Jan 1, 2019 EXCELLENT BRONZE AGE DECORATED SPIRAL BRACELET - BANGLE",$29.00,9549.jpg
"Sold  Dec 30, 2018 Saber / Sword of Khazar Khaganate (about 8 - 9 centuries) ORIGINAL! Length 82 cm",$172.50,6220.jpg
"Sold  Dec 30, 2018 Saber / Sword of Khazar Khaganate (about 8 - 9 centuries) ORIGINAL! Length 85 cm",$202.50,8868.jpg
"Sold  Dec 30, 2018 Helmet of ancient Rus-12 century - ""Polovtsy"". Original condition. Without resto",$707.00,8244.jpg
"Sold  Dec 30, 2018 Ancient Jewelry Ring Bronze 2,000 Years Old Antique Roman Celtic? Spiral Design",$89.00,11193.jpg
"Sold  Dec 30, 2018 LOT OF 3  CELTIC WHEEL MONEY",$0.99,10184.jpg
"Sold  Dec 30, 2018 ANCIENT PARFUM PENDANT HOLDER",$0.99,4827.jpg
"Sold  Dec 30, 2018 FACE BRONZE BELT BUCKLE",$0.99,476.jpg
"Sold  Dec 30, 2018  Perfect-Ancient-Celtic-Bronze-Ring-Pendant-Proto-Money-Pre-Coin-Wearable-224  P",$33.00,11449.jpg
"Sold  Dec 29, 2018 Arrowheads The Khazars 5th century. Different types of arrows and other accessor",$113.51,1594.jpg
"Sold  Dec 29, 2018 Scythian ritual sword / saber. Ritual sword murder.",$266.01,11305.jpg
"Sold  Dec 29, 2018 Sword of the Viking. The Vikings. Big Combat Sword. 99 cm","$1,025.00",8073.jpg
"Sold  Dec 29, 2018 CELTIC BRONZE RING ARTEFACT 7 EVIL EYES",$20.50,4964.jpg
"Sold  Dec 29, 2018 A379. Roman style bronze horse figurine",$14.99,4021.jpg
"Sold  Dec 28, 2018 3 Ancient Celtic Glass Beads Celts VERY RARE!  TOP !!",$15.50,1867.jpg
"Sold  Dec 28, 2018 1 Ancient Celtic Clay Bead Celts VERY RARE!  TOP !!",$20.00,2842.jpg
"Sold  Dec 27, 2018 ** EXCELLENT ** Ancient CELTIC Bronze ring ** SNAKES  **",$36.00,2783.jpg
"Sold  Dec 27, 2018 Celtic Sword - Spata, 3-4 century AD",$232.51,4954.jpg
"Sold  Dec 27, 2018 AUTHENTIC CELTIC TERRACOTTA HOUSE ALTAR AND IDOLS - 400 BC - FOUND TOGETHER",$44.00,9375.jpg
"Sold  Dec 26, 2018 RARE Celtic Ring Money Proto Coin From 800 BC Artifact Valued $300 Ancient",$15.50,9474.jpg
"Sold  Dec 26, 2018 Ancient Celtic Bronze Armlet",$42.50,1192.jpg
"Sold  Dec 25, 2018 Authentic Celtic  Proto Money",$5.50,4839.jpg
"Sold  Dec 25, 2018 ANCIENT CELTIC GLASS PASTE BEADS - 5 PIECES - 400 BC - RARE",$20.50,5980.jpg
"Sold  Dec 23, 2018 ** CROSS ** CELTIC BONE AMULET PENDANT 100 AD * RARE !!",$26.00,4174.jpg
"Sold  Dec 23, 2018 Celtic ancient  proto coins rings , Viking payment ingots 1-4 century BC",$1.25,723.jpg
"Sold  Dec 23, 2018 Bronze Age hair ring - insignia of rank",$5.50,3793.jpg
"Sold  Dec 23, 2018 Celtic iron brooch",$15.50,7765.jpg
"Sold  Dec 23, 2018 Lot of 7 Roman and Celtic brooch",$41.00,4132.jpg
"Sold  Dec 23, 2018 Early Iron Age Astragalos Belt - Hallstatt Culture",$95.00,11850.jpg
"Sold  Dec 23, 2018 Late Bronze Age Socketed Axe",$94.39,7767.jpg
"Sold  Dec 23, 2018 Roman silver trumpet brooch",$34.00,11113.jpg
"Sold  Dec 23, 2018 Romano- british cockerel formed brooch",$27.00,3089.jpg
"Sold  Dec 23, 2018 Roman zoomorphic knee brooch",$94.00,7483.jpg
"Sold  Dec 23, 2018 Lot of 7 Barbarian medals/ amulets",$8.50,6648.jpg
"Sold  Dec 23, 2018 Roman legionary fitting - buckle plate",$7.50,9626.jpg
"Sold  Dec 23, 2018 Roman silver finger ring with engraved letters",$22.50,2467.jpg
"Sold  Dec 23, 2018 Roman seal ring with engraved emeror on ship",$3.00,1397.jpg
"Sold  Dec 23, 2018 Roman seal ring with engraved lion",$4.26,1387.jpg
"Sold  Dec 23, 2018 Roman silver medical tool",$16.50,11423.jpg
"Sold  Dec 23, 2018 Lot of 5 Roman and Celtic brooch",$36.00,11119.jpg
"Sold  Dec 23, 2018 ANCIENT BYZANTINE PARFUM  HOLDER PENDANT",$0.99,1512.jpg
"Sold  Dec 23, 2018  Perfect-Ancient-Celtic-Bronze-Ring-Pendant-Proto-Money-Pre-Coin-Wearable-224  P",$53.00,11449.jpg
"Sold  Dec 23, 2018 LONG PHALIC FERTILITY BRONZE AMULET",$21.00,7845.jpg
"Sold  Dec 23, 2018 beautiful CELTIC DECORATED HAIR PIN",$9.99,7140.jpg
"Sold  Dec 23, 2018 ANCIENT LA TENE PERIOD CELTIC BRONZE FIBULA  - RARE !",$14.00,8099.jpg
"Sold  Dec 23, 2018 A286, Celtic style bronze ring money.",$13.00,764.jpg
"Sold  Dec 22, 2018 ANCIENT LA TENE PERIOD CELTIC BRONZE FIBULA  - RARE !",$13.50,8099.jpg
"Sold  Dec 22, 2018 3 Ancient Celtic Glass Beads Celts VERY RARE!  TOP !!",$8.39,1867.jpg
"Sold  Dec 22, 2018 A384.Celtic style figurine of warrior.",$17.00,11759.jpg
"Sold  Dec 22, 2018 A378. Celtic style bronze horse figurine",$19.00,11107.jpg
"Sold  Dec 21, 2018 Sword of the Viking. The Vikings. Combat Sword. 86 cm",$856.00,9445.jpg
"Sold  Dec 21, 2018 Meotian sword. Meoty. 4th century. Very good condition. Length 70 cm.",$352.75,11526.jpg
"Sold  Dec 21, 2018 Sword of the Viking. Battle Sword. Original condition. Length 87 cm",$310.00,4234.jpg
"Sold  Dec 19, 2018 Ancient Celtic AE ring money very fine Circa 500 BC 27 mm 13.6 grams",$0.99,1213.jpg
"Sold  Dec 19, 2018 CELTC  BEADS ANCIENT bronz BEADS",$0.97,2415.jpg
"Sold  Dec 19, 2018 Ancient Teracotta Bird Indus Valley 800 BC NO RESERVE  #TR15368",$29.99,1884.jpg
"Sold  Dec 18, 2018 AMAZING ANCIENT BRONZE EARLY CELTIC AXE",$43.20,7547.jpg
"Sold  Dec 18, 2018 LOT OF 500 ANCIENT BRONZE ARROW HEAD 1.050 kg",$999.00,8766.jpg
"Sold  Dec 17, 2018 2 Ancient Celtic Glass Beads Celts VERY RARE!  TOP !!",$0.99,5792.jpg
"Sold  Dec 16, 2018 **IRON AGE**Ancient Silver  CELTIC Ring **LA TENE ** 500BC** PEACOCK **",$60.00,11937.jpg
"Sold  Dec 16, 2018 CELTIC BRONZE RING ARTEFACT EVIL EYE",$10.50,3058.jpg
"Sold  Dec 16, 2018 CELTIC BRONZE  SOCK APPLICATION",$0.99,4047.jpg
"Sold  Dec 16, 2018 > ANCIENT CELTIC BRONZE STAMP ENGRAVED RING < NUDE MAN FIGURE WITH PHALLUS",$26.00,1585.jpg
"Sold  Dec 16, 2018 AMAZING ENGRAVED ANCIENT SILVER ROMAN RING - unique shape . circa IV century",$35.00,77.jpg
"Sold  Dec 16, 2018 >>> AMAZING ANCIENT CELTIC SILVER RING <<< 2 SNAKE HEADS - HOLLOW ART WORK",$115.05,11865.jpg
"Sold  Dec 16, 2018 >>> MARS <<< ANCIENT ROMAN SILVER RING WITH IMAGE OF GOD MARS .circa 150 AD",$131.00,3652.jpg
"Sold  Dec 16, 2018 CELTIC TWO HEAD HORSE WHEEL MONEY-400bc",$10.49,8111.jpg
"Sold  Dec 16, 2018 ANCIENT BEADS, Ancient Roman Bronze Beads",$0.99,4774.jpg
"Sold  Dec 16, 2018   2 Nice authentic  bronze Ancient Celtic ring money, 800-500 BC",$1.99,9922.jpg
"Sold  Dec 16, 2018 1 Ancient Celtic Glass Bead Celts VERY RARE!  TOP !!",$5.00,7261.jpg
"Sold  Dec 16, 2018 ANCIENT CELTIC ROMAN ENAMELED BRONZE HAIR - DRESS PIN - 200/100 BC - RARE",$21.51,3908.jpg
"Sold  Dec 16, 2018 ANCIENT CELTIC BRONZE SOLAR FIBULA BROOCH - 200 BC - RARE",$1.00,4624.jpg
"Sold  Dec 16, 2018 3 PIECES ANCIENT ROMAN LEGIONARY LEAD WHISTLE - 100 AD - RARE!",$68.00,6344.jpg
"Sold  Dec 16, 2018 SUPERB DECORATED BRONZE AGE RING - 2000/1500 BC - RARE!",$10.50,2765.jpg
"Sold  Dec 15, 2018 Ancient Celtic ring with Rune Inguz.",$7.00,8126.jpg
"Sold  Dec 15, 2018 ANCIENT BILON PARFUM PENDANT HOLDER FERTILITY",$4.60,3332.jpg
"Sold  Dec 15, 2018  Perfect-Ancient-Celtic-Bronze-Ring-Pendant-Proto-Money-Pre-Coin-Wearable-224  P",$22.50,11449.jpg
"Sold  Dec 15, 2018 NEOLITHIC VINCA CULTURE TERRACOTTA BEADS - 12 PIECES - 5000 BC",$11.00,1932.jpg
"Sold  Dec 15, 2018 ANCIENT CELTIC GLASS BIRD BEAD  - 400 BC - RARE - WEARABLE!",$54.00,420.jpg
"Sold  Dec 15, 2018 ANCIENT CELTIC GLASS BEAD  - 400 BC - RARE",$28.00,7044.jpg
"Sold  Dec 15, 2018 ANCIENT CELTIC GLASS PASTE BEADS - 5 PIECES - 400 BC - RARE",$36.00,5980.jpg
"Sold  Dec 15, 2018 3 Ancient Celtic Glass Beads Celts VERY RARE!  TOP !!",$37.99,1867.jpg
"Sold  Dec 14, 2018 Great Ancient Celts Axe",$14.99,11802.jpg
"Sold  Dec 14, 2018 Great Ancient Celts Axe",$14.99,11802.jpg
"Sold  Dec 14, 2018 ANCIENT BRONZE EARLY CELTIC AXE",$48.00,10502.jpg
"Sold  Dec 14, 2018 BRONZE CELTIC AXE NICE",$79.00,228.jpg
"Sold  Dec 14, 2018 BRONZE CELTIC AXE LONG",$158.50,1310.jpg
"Sold  Dec 14, 2018 ANCIENT CELTIC BRONZE HAIR - DRESS PIN WITH BIRD ON TOP - 200/100 BC - RARE",$5.00,8174.jpg
"Sold  Dec 14, 2018 Arrowheads. arrows Kievan Rus 11-14 century 7 pieces",$10.50,9762.jpg
"Sold  Dec 13, 2018 European Bronze Age sickle. Unusual shape From point to tang end 8 1/2""",$70.00,10346.jpg
"Sold  Dec 13, 2018 Lot of 9 Celtic rings proto money, 5th century BC",$3.00,11742.jpg
"Sold  Dec 12, 2018 Ancient Celtic Roman iron battle axe",$6.00,12393.jpg
"Sold  Dec 12, 2018 RARE Celtic Ring Money Proto Coin From 800 BC Artifact Valued $300 Ancient",$12.50,9474.jpg
"Sold  Dec 11, 2018 Long Celtic Sword Scythian Sword 100% Authentic",$300.00,1636.jpg
"Sold  Dec 11, 2018 Ancient rings  Ancient MIX  find №271 Metal detector finds 100% original",$15.00,7281.jpg
"Sold  Dec 10, 2018 Socketed Bronze Age Spearhead",$35.56,9594.jpg
"Sold  Dec 10, 2018 3 Ancient Celtic Glass Beads Celts VERY RARE!  TOP !!",$36.99,1867.jpg
"Sold  Dec 10, 2018 3 Ancient Celtic Clay Beads Celts VERY RARE!  TOP !!",$3.25,4593.jpg
"Sold  Dec 9, 2018 Antique Celtic Brooch Penannular Fibula Silver Large 6.75"" Wide Vintage Viking",$100.99,1845.jpg
"Sold  Dec 9, 2018 CELTIC BRONZE Bead",$0.99,11044.jpg
"Sold  Dec 9, 2018 WOLF HEAD * BRONZE CELTIC RING *",$3.25,7147.jpg
"Sold  Dec 9, 2018 CELTIC Bronze WHEEL PROTO Coin 800 BC - 400 BC Celtic MONEY",$14.50,10326.jpg
"Sold  Dec 9, 2018 ANCIENT CELTIC DRUIDS BRONZE PENDANT- 300/200 BC - WEARABLE",$6.50,4066.jpg
"Sold  Dec 9, 2018 ANCIENT CELTIC DRUIDS BRONZE PENDANT- 300/200 BC - WEARABLE",$1.50,4066.jpg
"Sold  Dec 9, 2018 ANCIENT CELTIC DRUIDS BRONZE PENDANT- 300/200 BC - WEARABLE",$5.50,4066.jpg
"Sold  Dec 9, 2018 ANCIENT CELTIC DRUIDS BRONZE PENDANT- 300/200 BC - WEARABLE",$1.00,4066.jpg
"Sold  Dec 9, 2018 ANCIENT CELTIC DRUIDS BRONZE PENDANT- 300/200 BC - WEARABLE",$13.50,4066.jpg
"Sold  Dec 9, 2018 ANCIENT CELTIC DRUIDS BRONZE PENDANT FOR AROMATIC OILS - 300/200 BC - WEARABLE",$6.50,5412.jpg
"Sold  Dec 9, 2018 ANCIENT CELTIC ROMAN GILDES BRONZE HAIR - DRESS PIN  - RARE",$18.50,3566.jpg
"Sold  Dec 9, 2018 Roman silver child brooch",$20.50,539.jpg
"Sold  Dec 9, 2018 Roman silver phallic amulet",$75.85,378.jpg
"Sold  Dec 9, 2018 Celtic brooch #2",$34.00,6036.jpg
"Sold  Dec 9, 2018 Roman silver medical tool",$32.00,11423.jpg
"Sold  Dec 9, 2018 Celtic brooch",$21.50,10717.jpg
"Sold  Dec 9, 2018 lot of 5 Roman and Celtic brooch #2",$37.00,11637.jpg
"Sold  Dec 9, 2018 Roman silver zoomorphic military fitting",$33.00,952.jpg
"Sold  Dec 9, 2018 Roman zoomorphic brooch with niello work",$15.50,2758.jpg
"Sold  Dec 9, 2018 Roman enamelled zoomorphic brooch",$37.88,8636.jpg
"Sold  Dec 9, 2018  ROMAN  APPLIQUE",$0.99,10272.jpg
"Sold  Dec 9, 2018 Barbarian / Celtic bracelet",$78.00,4388.jpg
"Sold  Dec 9, 2018 Roman zoomorphic brooch",$15.50,10529.jpg
"Sold  Dec 9, 2018 lot of 5 Roman medical tool",$48.68,9734.jpg
"Sold  Dec 9, 2018 Roman silver brooch",$58.00,4541.jpg
"Sold  Dec 9, 2018 lot of 5 Roman and Celtic brooch",$41.00,3462.jpg
"Sold  Dec 9, 2018 Roman military fitting and buckle",$6.00,9350.jpg
"Sold  Dec 9, 2018 Roman military brooch",$18.50,10949.jpg
"Sold  Dec 9, 2018  GREAT ROMAN   APPLIQUE",$0.99,5232.jpg
"Sold  Dec 9, 2018 ANCIENT CELTIC SILVER AX AXE AMULET WITH SOLAR SYMBOLS - ULTRA RARE! 600 BC",$6.50,11285.jpg
"Sold  Dec 9, 2018 ANCIENT CELTIC BRONZE SOLAR AMULET WITH BEAUTIFUL DETAILS  - 400 BC",$6.50,11372.jpg
"Sold  Dec 9, 2018 ANCIENT CELTIC ROMAN BRONZE HAIR - DRESS PIN WITH SOLAR DECORATIONS - RARE",$23.00,3402.jpg
"Sold  Dec 9, 2018 ANCIENT CELTIC ROMAN SILVERED BRONZE HAIR - DRESS PIN - 100 BC - RARE",$19.00,12267.jpg
"Sold  Dec 9, 2018 ANCIENT CELTIC BRONZE AXE AX AMULET PENDANT - 600/400 BC - RARE - WEARABLE! 1",$20.50,8737.jpg
"Sold  Dec 9, 2018 HOARD OF 10 ANCIENT CELTIC DECORATIVE BRONZE BELLS - 100 BC - FOUND TOGETHER!",$56.50,738.jpg
"Sold  Dec 9, 2018 5 PIECES ANCIENT CELTIC INTACT OMEGA FIBULAE BROOCHES - 300/200 BC - RARE!",$24.39,8642.jpg
"Sold  Dec 9, 2018 BRONZE AGED ANCIENT HAIR PIN DRESS needle / Big Size 21 cm beautiful decorated",$70.00,7587.jpg
"Sold  Dec 9, 2018 ANCIENT CELTIC BRONZE SOLAR DECORATION AMULET  - 200/100 BC - WEARABLE",$1.00,6359.jpg
"Sold  Dec 9, 2018 SUPERB ANCIENT CELTIC BRONZE RING  -  200/100 BC",$1.00,11589.jpg
"Sold  Dec 9, 2018 ANCIENT CELTIC BILON SILVER PENDANT AMULET - 300/200 BC - RARE!",$8.50,5796.jpg
"Sold  Dec 9, 2018 SUPERB 119 mm LONG BRONZE AGE SPEAR HEAD - 2000 BC",$26.00,11816.jpg
"Sold  Dec 9, 2018 INTACT BRONZE AGE ILLYRIAN WOMEN BRACELET  - 1000 BC. - RARE",$8.50,3029.jpg
"Sold  Dec 9, 2018 INTACT ANCIENT CELTIC SILVER HAIR - DRESS PIN WITH BEAD - 200/100 BC - RARE",$13.50,8920.jpg
"Sold  Dec 9, 2018 ANCIENT CELTIC BRONZE SOLAR AMULET - WEARABLE  - 400 BC",$11.00,3017.jpg
"Sold  Dec 9, 2018 ANCIENT CELTIC BRONZE SOLAR AMULET DECORATION - 200/100 BC",$5.50,3301.jpg
"Sold  Dec 9, 2018 PAIR OF ANCIENT CELTIC BRONZE AMULET DECORATION WITH SOLAR SYMBOLS - 100 BC",$4.00,5150.jpg
"Sold  Dec 9, 2018 ANCIENT CELTIC  SILVER BELT BUCKLE - 200 BC - RARE!",$5.00,1734.jpg
"Sold  Dec 9, 2018 INTACT ANCIENT CELTIC BRONZE BRACELET  - 300 BC.",$1.00,2921.jpg
"Sold  Dec 9, 2018 PART OF ANCIENT CELTIC WARRIORS BRONZE BELT  - 400/300 BC. - EXTREMELY RARE!",$1.00,1873.jpg
"Sold  Dec 9, 2018 BRONZE AGE - CELTIC BRONZE SICKLE - 1000 BC - RARE",$41.00,6973.jpg
"Sold  Dec 9, 2018 SUPERB ANCIENT CELTIC BRONZE DECORATION - 300/200 BC - RARE",$1.25,7927.jpg
"Sold  Dec 9, 2018 LARGE ANCIENT CELTIC BRONZE SOLAR AMULET DECORATION - 200 BC - RARE",$5.50,6268.jpg
"Sold  Dec 9, 2018 RARE LA TENE CULTURE BRONZE FIBULA BROOCH - COMPLETE - BEAUTIFUL!",$3.25,9755.jpg
"Sold  Dec 9, 2018 ANCIENT CELTIC WARRIORS BRONZE BELT DECORATIONS - 400/300 B.C.",$1.00,3096.jpg
"Sold  Dec 9, 2018 SUPERB ANCIENT CELTIC BRONZE SOLAR DECORATION - 200 BC - RARE!",$5.50,2522.jpg
"Sold  Dec 9, 2018 SCARCE CELTIC BRONZE DECORATED FIBULA BROOCH WITH TWO PINS - 400 BC - RARE",$5.50,11800.jpg
"Sold  Dec 9, 2018 BRONZE AGE SOLAR FIBULA BROOCH - 800 BC - RARE",$1.00,10113.jpg
"Sold  Dec 8, 2018 ANCIENT BRONZE BRACELET TWO SNAKE HEADS",$2.99,6541.jpg
"Sold  Dec 8, 2018  Perfect-Ancient-Celtic-Bronze-Ring-Pendant-Proto-Money",$4.99,8708.jpg
"Sold  Dec 8, 2018 RARE LATENE PERIOD BRONZE FIBULA",$4.99,4557.jpg
"Sold  Dec 7, 2018 Ancient Celtic bronze ornament",$2.60,2581.jpg
"Sold  Dec 6, 2018 Sword of the Viking. The Vikings. Combat Sword. 84 cm",$910.00,9463.jpg
"Sold  Dec 6, 2018 Sword of the Viking. The Vikings. Combat Sword.",$481.00,11655.jpg
"Sold  Dec 6, 2018 Big Sword of the Viking. The Vikings. Combat Sword.",$511.00,10683.jpg
"Sold  Dec 6, 2018 ** BEAUTIFULL ** Ancient CELTIC Bronze ring ** TWO HORSES **",$54.00,10582.jpg
"Sold  Dec 5, 2018 4 Ancient Celtic Glass Beads Celts VERY RARE!  TOP !!",$13.50,11890.jpg
"Sold  Dec 3, 2018 Scythian ritual sword / saber. Ritual sword murder.",$207.50,11305.jpg
"Sold  Dec 3, 2018 Scythian ritual sword / saber. Ritual sword murder.",$300.00,11305.jpg
"Sold  Dec 3, 2018 Arrowheads The Khazars 5th century. Different types of arrows and other accessor",$306.99,1594.jpg
"Sold  Dec 3, 2018 Arrowheads The Khazars 5th century. Different types of arrows and other accessor",$210.05,1594.jpg
"Sold  Dec 3, 2018 Helmet of ancient Rus-12 century - ""Polovtsy"". Original condition. Without resto",$504.00,8244.jpg
"Sold  Dec 2, 2018 Meotian sword. Meoty. 4th century. Very good condition. Length 70 cm.",$510.00,11526.jpg
