Object,Price,Location,Link
"Sold  Feb 3, 2019 Rare Ancient greek Bronze Amulet Unique Pendant",$20.00,,
"Sold  Feb 3, 2019 "" OWL ""  ANCIENT SILVER ROMAN-GREEK  RING!!!",$58.00,,
"Sold  Feb 3, 2019  SET OF TWO ANCIENT GREEK BRONZE BARBED ARROWHEADS. BATTLE RELICS",$60.93,,
"Sold  Feb 3, 2019 Ancient Roman Bronze of a Goat",$99.00,"Helsinki, Finland",https://www.ebay.com/itm/Ancient-Roman-Bronze-of-a-Goat/202578158335?hash=item2f2a9962ff%3Ag%3AQtAAAOSw7HhcO63L&LH_Auction=1
"Sold  Feb 3, 2019 ANCIENT GREECE BRONZE STATUE ACHILLES",$55.75,"London, London, United Kingdom",https://www.ebay.com/itm/ANCIENT-GREECE-BRONZE-STATUE-ACHILLES/401695520149?hash=item5d86eb3595%3Ag%3AsREAAOSwkHxcTYHZ&LH_Auction=1
"Sold  Feb 3, 2019 SUPERB LATE BRONZE AGE SHORT SWORD - 51,9 cm - 1100/900 BC - BEAUTIFUL PATINA",$525.00,"Colchester, United Kingdom",https://www.ebay.com/itm/SUPERB-LATE-BRONZE-AGE-SHORT-SWORD-51-9-cm-1100-900-BC-BEAUTIFUL-PATINA/132929134345?hash=item1ef3319f09%3Ag%3AOboAAOSwckVcSiNX&LH_Auction=1
"Sold  Feb 3, 2019 RARE Metal Detecting ANCIENT ROMAN EMPEROR BRONZE STATUE OF ANTINOUS 111-130",$532.82,"London, United Kingdom",https://www.ebay.com/itm/RARE-Metal-Detecting-ANCIENT-ROMAN-EMPEROR-BRONZE-STATUE-OF-ANTINOUS-111-130/303042747775?hash=item468ec15d7f%3Ag%3AEzYAAOSw87JcTgSR&LH_Auction=1
"Sold  Feb 3, 2019 Ancient Rome Medallion Temple Coin 181AD Eagle Ruler Diva Marciana AE Sestertius",$90.00,"Alpine, New Jersey, United States",https://www.ebay.com/itm/Ancient-Rome-Medallion-Temple-Coin-181AD-Eagle-Ruler-Diva-Marciana-AE-Sestertius/372587629728?hash=item56bff40ca0%3Ag%3A46EAAOSwYwZcRznQ&LH_Auction=1
"Sold  Feb 3, 2019 Ancient Rome Coin Greece Mark Anthony Cleopatra Nero Augusta Caesar 50AD Coin SC",$99.00,"Alpine, New Jersey, United States",https://www.ebay.com/itm/Ancient-Rome-Coin-Greece-Mark-Anthony-Cleopatra-Nero-Augusta-Caesar-50AD-Coin-SC/372587094730?hash=item56bfebe2ca%3Ag%3Am%7E4AAOSw-elcVP%7Eh&LH_Auction=1
"Sold  Feb 3, 2019 Ancient-Antique Greek Bronze Stickman Apollo Holding Lyre - SIGNED",$25.92,"Rickmansworth, Hertfordshire, United Kingdom",https://www.ebay.com/itm/Ancient-Antique-Greek-Bronze-Stickman-Apollo-Holding-Lyre-SIGNED/183651791013?hash=item2ac27ff0a5%3Ag%3AeeMAAOSwX-pb%7Er-1&LH_Auction=1
"Sold  Feb 2, 2019 Amazing Scythian Bronze Application / Decoration - FISH",$85.00,"Graz, Austria",https://www.ebay.com/itm/Amazing-Scythian-Bronze-Application-Decoration-FISH/223345935052?hash=item34007482cc%3Ag%3AnHMAAOSwrClcTKFl&LH_Auction=1
"Sold  Feb 2, 2019 Excellent Roman Old 22k karat Gold Wonderful Bangle with 2 Animals 32.6 grams#8z","$1,450.00","Surrey, United Kingdom",https://www.ebay.com/itm/Excellent-Roman-Old-22k-karat-Gold-Wonderful-Bangle-with-2-Animals-32-6-grams-8z/283356665910?hash=item41f95f9836%3Ag%3AIxoAAOSwHDdcT1hg&LH_Auction=1
"Sold  Feb 2, 2019 Amyzing greek  coin  antique bronze pendant",$15.00,,
"Sold  Feb 1, 2019 Ancient Greek Bronze Figurine Statue Orpheus god of musician, poet, and prophet",$39.00,,
"Sold  Jan 31, 2019 Amyzing very old  rare white agate cylinderseal bead",$11.50,"bangkok, Thailand",https://www.ebay.com/itm/Amyzing-very-old-rare-white-agate-cylinderseal-bead/123614969539?hash=item1cc806bec3%3Ag%3Ao58AAOSwb15cRgmg&LH_Auction=1
"Sold  Jan 31, 2019 Authentic Pair of Cypro-Geometric Creme Ware Pottery Flasks 1000-750 B.C.",$292.59,,
"Sold  Jan 31, 2019 RARE ANCIENT ROMAN BRONZE STATUE OF HERCULES GREEK MYTHOLOGY AND INFLUENCE",$58.34,"Didcot, United Kingdom",https://www.ebay.com/itm/RARE-ANCIENT-ROMAN-BRONZE-STATUE-OF-HERCULES-GREEK-MYTHOLOGY-AND-INFLUENCE/153346826887?hash=item23b42ee287%3Ag%3Al4kAAOSw%7EbhcRNM2&LH_Auction=1
"Sold  Jan 31, 2019 ** GRYPHON with DOLPHIN **Ancient Legionary Silver Greek Roman Ring *WOW 18,5g*",$99.00,Paracin,https://www.ebay.com/itm/GRYPHON-with-DOLPHIN-Ancient-Legionary-Silver-Greek-Roman-Ring-WOW-18-5g/254101602537?hash=item3b29a2c0e9%3Ag%3AUKAAAOSwqkRcO-KV&LH_Auction=1
"Sold  Jan 31, 2019 SCARCE ANCIENT GREEK HELLENISTIC PERIOD TERRACOTTA VESSEL TRIPOD 3 ZUES FACES",$53.15,"Didcot, United Kingdom",https://www.ebay.com/itm/SCARCE-ANCIENT-GREEK-HELLENISTIC-PERIOD-TERRACOTTA-VESSEL-TRIPOD-3-ZUES-FACES/153346807246?hash=item23b42e95ce%3Ag%3AY3kAAOSwa55cRM-4&LH_Auction=1
"Sold  Jan 31, 2019 Amyzing  greek antique  bronze  coin",$15.00,"bangkok, Thailand",https://www.ebay.com/itm/Amyzing-greek-antique-bronze-coin/143104950050?hash=item2151b83f22%3Ag%3Ars4AAOSwQLVcOLYQ&LH_Auction=1
"Sold  Jan 31, 2019 Pottery jug, probably from Cyprus / Cypriot",$158.16,"Dagenham, United Kingdom",https://www.ebay.com/itm/Pottery-jug-probably-from-Cyprus-Cypriot/292928295678?hash=item4433e312fe%3Ag%3A6ZEAAOSwws5cRd6K&LH_Auction=1
"Sold  Jan 31, 2019 More limestone statue fragments, probably from Cyprus / Cypriot",$112.79,"Lummi Island, Washington, United States",https://www.ebay.com/itm/More-limestone-statue-fragments-probably-from-Cyprus-Cypriot/292928293999?hash=item4433e30c6f%3Ag%3AFXwAAOSw1llcRd4M&LH_Auction=1
"Sold  Jan 31, 2019 Limestone statue fragments, probably from Cyprus / Cypriot",$45.37,"Lummi Island, Washington, United States",https://www.ebay.com/itm/Limestone-statue-fragments-probably-from-Cyprus-Cypriot/292928293291?hash=item4433e309ab%3Ag%3AicUAAOSwFs1cRd2M&LH_Auction=1
"Sold  Jan 31, 2019 Pottery fragments, probably from Cyprus / Cypriot",$177.61,"London, United Kingdom",https://www.ebay.com/itm/Pottery-fragments-probably-from-Cyprus-Cypriot/292928291581?hash=item4433e302fd%3Ag%3A%7Ew4AAOSwAx9cRdzF&LH_Auction=1
"Sold  Jan 30, 2019 5 Ancient Roman Gold Gilded Beads European Authentic Antiquity Artifact Greek",$17.50,"Auburn, Alabama, United States",https://www.ebay.com/itm/5-Ancient-Roman-Gold-Gilded-Beads-European-Authentic-Antiquity-Artifact-Greek/273670245372?hash=item3fb8048bfc%3Ag%3AT4YAAOSwSDxbvUCd&LH_Auction=1
"Sold  Jan 30, 2019 Fantastic  antique intaglio bronze silver gilded pendant",$16.00,,
"Sold  Jan 30, 2019 Very beautiful antique bronze intaglio seal",$16.00,,
