Date,Object,Price,Location,Category,Link
2019-01-01 00:00:00,"Sold  Jan 1, 2019 Antique Persian Khorasan Rare Big Ceramic Pottery Bowl With Kufic writing",91.0,Thailand,islamic,https://www.ebay.com/itm/Antique-Persian-Khorasan-Rare-Big-Ceramic-Pottery-Bowl-With-Kufic-writing/163450646094?hash=item260e6aee4e%3Ag%3A2a8AAOSwjrFcIl2R&LH_Auction=1
2019-01-08 00:00:00,"Sold  Jan 8, 2019 PAIR OF FINE AUTHENTIC POLISHED CELTS FROM OLD CHICAGO ARTIFACT COLLECTION",78.77,United States,celt,https://www.ebay.com/itm/PAIR-OF-FINE-AUTHENTIC-POLISHED-CELTS-FROM-OLD-CHICAGO-ARTIFACT-COLLECTION/392193567249?hash=item5b508eea11%3Ag%3ACAwAAOSw2hxcE8oY&LH_Auction=1
2018-12-24 00:00:00,"Sold  Dec 24, 2018  Iznik Persian Turkish Ceramic Pottery Painted Glazed Vase/ Bottle",37.0,United States,islamic,https://www.ebay.com/itm/Iznik-Persian-Turkish-Ceramic-Pottery-Painted-Glazed-Vase-Bottle/233052335173?hash=item3643006c45%3Ag%3A3igAAOSwjoFcDoDw&LH_Auction=1
2018-10-21 00:00:00,"Sold  Oct 21, 2018 Roman legionary brooch / fibula",79.8,Austria,roman,https://www.ebay.com/itm/Roman-legionary-brooch-fibula/302920961672?hash=item46877f0e88%3Ag%3AAYgAAOSwKCZbw4E-&LH_Auction=1
2018-12-09 00:00:00,"Sold  Dec 9, 2018 Roman military brooch",18.5,Bulgaria,roman,https://www.ebay.com/itm/Roman-military-brooch/302981180977?hash=item468b15ee31%3Ag%3A7VMAAOSwnh9cBClY&LH_Auction=1
2018-12-16 00:00:00,"Sold  Dec 16, 2018 ANCIENT CELTIC ROMAN ENAMELED BRONZE HAIR - DRESS PIN - 200/100 BC - RARE",21.51,Bosnia and Herzegovina,celt,https://www.ebay.com/itm/ANCIENT-CELTIC-ROMAN-ENAMELED-BRONZE-HAIR-DRESS-PIN-200-100-BC-RARE/132882785347?hash=item1ef06e6443%3Ag%3AYuEAAOSwBCtbKVJW&LH_Auction=1
2019-01-10 00:00:00,"Sold  Jan 10, 2019 1st Century Ancient Rare Khurasani Ceramic Antique Bowl With Persian Queen Art #",26.2,Thailand,islamic,https://www.ebay.com/itm/1st-Century-Ancient-Rare-Khurasani-Ceramic-Antique-Bowl-With-Persian-Queen-Art/223305571040?hash=item33fe0c9ae0%3Ag%3AXO0AAOSwBVdcKiTS&LH_Auction=1
2018-12-12 00:00:00,"Sold  Dec 12, 2018 24# Old Islamic Ottoman Persian Damascus Silver Deep Inlay Knife Khanjar Dagger",182.5,Germany,islamic,https://www.ebay.com/itm/24-Old-Islamic-Ottoman-Persian-Damascus-Silver-Deep-Inlay-Knife-Khanjar-Dagger/163409921639?hash=item260bfd8667%3Ag%3AGbUAAOSwRDJcA6%7EG&LH_Auction=1
2018-12-09 00:00:00,"Sold  Dec 9, 2018 CELTIC Bronze WHEEL PROTO Coin 800 BC - 400 BC Celtic MONEY",14.5,Serbia,celt,https://www.ebay.com/itm/CELTIC-Bronze-WHEEL-PROTO-Coin-800-BC-400-BC-Celtic-MONEY/153286911716?hash=item23b09ca6e4%3Ag%3AJGMAAOSweWdcA-BB&LH_Auction=1
2018-10-27 00:00:00,"Sold  Oct 27, 2018 VERY FINE MUSEUM WORTHY ANTIQUE PLATE PERSIANS ISLAMIC SILVER INLAID COPPER TRAY",71.0,Jordan,islamic,https://www.ebay.com/itm/VERY-FINE-MUSEUM-WORTHY-ANTIQUE-PLATE-PERSIANS-ISLAMIC-SILVER-INLAID-COPPER-TRAY/123433566958?hash=item1cbd36c2ee%3Ag%3AAgoAAOSwgQdbyJih&LH_Auction=1
2018-11-24 00:00:00,"Sold  Nov 24, 2018 Antique Unique Islamic Lucky Numbers Brass And Silver Rare Stunning Ring  # T7l",15.5,Thailand,islamic,https://www.ebay.com/itm/Antique-Unique-Islamic-Lucky-Numbers-Brass-And-Silver-Rare-Stunning-Ring-T7l/223230553727?hash=item33f993ee7f%3Ag%3AeVAAAOSwuWJb7F8t&LH_Auction=1
2018-12-14 00:00:00,"Sold  Dec 14, 2018 Ancient islamic agate kufic inscription seal",19.5,Thailand,islamic,https://www.ebay.com/itm/Ancient-islamic-agate-kufic-inscription-seal/123535626752?hash=item1cc34c1200%3Ag%3AjQcAAOSw1rpcDVdZ&LH_Auction=1
2019-01-03 00:00:00,"Sold  Jan 3, 2019 Scythian ritual sword / saber. Ritual sword murder.",182.5,Germany,celt,https://www.ebay.com/itm/Scythian-ritual-sword-saber-Ritual-sword-murder/273622633142?hash=item3fb52e0ab6%3Ag%3ATfQAAOSwl89b-Bkb&LH_Auction=1
2018-12-18 00:00:00,"Sold  Dec 18, 2018 VERY OLD 18 C. OTTOMAN EMPIRE TURKISH ARMY BELT BUCKLE - EXTREME RARE",100.0,Macedonia,islamic,https://www.ebay.com/itm/VERY-OLD-18-C-OTTOMAN-EMPIRE-TURKISH-ARMY-BELT-BUCKLE-EXTREME-RARE/132884945741?hash=item1ef08f5b4d%3Ag%3AQ1wAAOSwD1pcD7ue&LH_Auction=1
