Object,Price,Location,Link
"Sold  Jan 18, 2019 AUTHENTIC POST MEDIEVAL BRONZE HAIRBRUSH WITH ORNAMENT",$53.99,"Moscow, Russian Federation",https://www.ebay.com/itm/AUTHENTIC-POST-MEDIEVAL-BRONZE-HAIRBRUSH-WITH-ORNAMENT/183626336265?hash=item2ac0fb8809%3Ag%3AUj4AAOSwdaVcNIqy&LH_Auction=1
"Sold  Jan 18, 2019 LOW OUTBID !! Ancient Viking BRONZE Ring LION SYMBOL VERY Stunning GOOD PATINA",$6.50,"SALE, Morocco",https://www.ebay.com/itm/LOW-OUTBID-Ancient-Viking-BRONZE-Ring-LION-SYMBOL-VERY-Stunning-GOOD-PATINA/254059187526?hash=item3b271b8d46%3Ag%3ARmYAAOSwt0dcNTKu&LH_Auction=1
"Sold  Jan 18, 2019 Viking ancient arrows  collection 7-9 century AD",$1.00,,
"Sold  Jan 18, 2019 Ancient Viking Norse SILVER Hammer Thor's Axe amulet PENDANT Inscribed symbols",$82.73,,
"Sold  Jan 18, 2019 Roman Celtic ancient brooches fibula pins 2 BC -5  century AD authentic",$21.50,,
"Sold  Jan 18, 2019 Ancient Viking Norse SILVER Hammer Thor's Axe amulet PENDANT Inscribed symbols",$31.00,,
"Sold  Jan 18, 2019 Ancient Viking Norse SILVER Hammer Thor's Axe amulet PENDANT Inscribed symbols",$5.50,,
"Sold  Jan 18, 2019 Ancient Viking Norse SILVER Hammer Thor's Axe amulet PENDANT Inscribed symbols",$8.50,,
"Sold  Jan 18, 2019 Ancient Viking Norse SILVER Hammer Thor's Axe amulet pendant inscribed symbols",$18.23,,
"Sold  Jan 18, 2019 Rare Ancient VIKING BRONZE RING 9-10 AD century ARTIFACT Magnificent RING",$10.00,"Marrakech, Morocco",https://www.ebay.com/itm/Rare-Ancient-VIKING-BRONZE-RING-9-10-AD-century-ARTIFACT-Magnificent-RING/254059087940?hash=item3b271a0844%3Ag%3AKOgAAOSwcZ1cNRaA&LH_Auction=1
"Sold  Jan 18, 2019 Viking ancient arrows  collection  8-12 century AD",$18.99,,
"Sold  Jan 18, 2019 Rare Ancient VIKING BRONZE RING 9-10 AD century ARTIFACT Magnificent RING",$13.00,"Marrakech, Morocco",https://www.ebay.com/itm/Rare-Ancient-VIKING-BRONZE-RING-9-10-AD-century-ARTIFACT-Magnificent-RING/254059087940?hash=item3b271a0844%3Ag%3AKOgAAOSwcZ1cNRaA&LH_Auction=1
"Sold  Jan 18, 2019 Viking Kiev Russ ancient crosses  rings  pendants  10-12 CE",$37.90,,
"Sold  Jan 18, 2019 Authentic medieval Viking bronze age decorated ring-wearable",$10.00,"Юрьевец, Russian Federation",https://www.ebay.com/itm/Authentic-medieval-Viking-bronze-age-decorated-ring-wearable/333013617260?hash=item4d89288a6c%3Ag%3A48gAAOSwcqxcG4w5&LH_Auction=1
"Sold  Jan 18, 2019 Ancient Viking Norse SILVER PENDANT Inscribed WARRIOR Symbols museum quality",$79.89,,
"Sold  Jan 18, 2019 SILVER VIKING twisted Bracelet Ancient BRACELET museum quality artifact RARE *1*",$33.00,"MARRAKECH., Morocco",https://www.ebay.com/itm/SILVER-VIKING-twisted-Bracelet-Ancient-BRACELET-museum-quality-artifact-RARE-1/254059072396?hash=item3b2719cb8c%3Ag%3AXfoAAOSw8TJcJ6dO&LH_Auction=1
"Sold  Jan 18, 2019 RARE SILVER VIKING twisted Bracelet Ancient BRACELET museum quality artifact *2*",$33.00,"MARRAKECH., Morocco",https://www.ebay.com/itm/RARE-SILVER-VIKING-twisted-Bracelet-Ancient-BRACELET-museum-quality-artifact-2/254059068025?hash=item3b2719ba79%3Ag%3AKA8AAOSws0pcNRKZ&LH_Auction=1
"Sold  Jan 18, 2019 Ancient Silver Ring Vikings, Kievan Rus 10-13 AD № 473/8.",$39.99,,
"Sold  Jan 18, 2019 Battle Ax -  Kievan Rus, Vikings 9 - 11th century AD",$56.00,"Kiev, Ukraine",https://www.ebay.com/itm/Battle-Ax-Kievan-Rus-Vikings-9-11th-century-AD/233086288364?hash=item36450681ec%3Ag%3AsR8AAOSwvpVcNOop&LH_Auction=1
"Sold  Jan 18, 2019 Ancient silver jewelery temporal Vikings, Kievan Rus 10-13 AD № 494/2.",$22.99,,
"Sold  Jan 18, 2019 SULITSA VIKING ERA IRON ARROW",$8.00,,
"Sold  Jan 18, 2019 Ancient Viking Celtic Norse Pendant AMULET inscribed symbols Wearable AMAZING",$4.99,,
"Sold  Jan 18, 2019 Ancient Viking Celtic Norse Pendant AMULET inscribed symbols Wearable AMAZING",$4.99,,
"Sold  Jan 17, 2019  Ancient VIKING  SILVER RING  museum quality ARTIFACT AMAZING",$0.01,"Marrakech, Morocco",https://www.ebay.com/itm/Ancient-VIKING-SILVER-RING-museum-quality-ARTIFACT-AMAZING/254057705367?hash=item3b2704ef97%3Ag%3ANLEAAOSwuVtbo-pM&LH_Auction=1
"Sold  Jan 17, 2019 Vintage-Ancient-Roman-Bronze-Ring-Magnificent Quality",$3.00,"SOUTH TIZNIT, Morocco",https://www.ebay.com/itm/Vintage-Ancient-Roman-Bronze-Ring-Magnificent-Quality/132914766541?hash=item1ef25662cd%3Ag%3AC2AAAOSwoZJcLTZp&LH_Auction=1
