Object,Price,Location,Seller,Link
"Oct 2, 2019 Roman  Celtic ancient  8  brooches fibula 1 century AD",$36.78,"UA, Ukraine",tony.seller,https://www.ebay.com/itm/Roman-Celtic-ancient-8-brooches-fibula-1-century-AD/163884582608?hash=item26284846d0%3Ag%3APTQAAOSwCtFdkOwY&LH_Auction=1
"Oct 2, 2019 Roman  Celtic ancient  8  brooches fibula 1 century AD",$50.00,"UA, Ukraine",tony.seller,https://www.ebay.com/itm/Roman-Celtic-ancient-8-brooches-fibula-1-century-AD/163884582608?hash=item26284846d0%3Ag%3APTQAAOSwCtFdkOwY&LH_Auction=1
"Oct 2, 2019 Roman  Celtic ancient  8  brooches fibula 1 century AD",$49.86,"UA, Ukraine",tony.seller,https://www.ebay.com/itm/Roman-Celtic-ancient-8-brooches-fibula-1-century-AD/163884582608?hash=item26284846d0%3Ag%3APTQAAOSwCtFdkOwY&LH_Auction=1
"Oct 2, 2019 Ancient Celtic Bronze Wedding Ring Circa 100 BC - 200 AD Very Rare",$0.99,"EU, France",martichworldcoins7,https://www.ebay.com/itm/Ancient-Celtic-Bronze-Wedding-Ring-Circa-100-BC-200-AD-Very-Rare/223680928501?hash=item34146c1af5%3Ag%3AUckAAOSwG5xdi51%7E&LH_Auction=1
"Oct 2, 2019 Ancient Celtic Proto Money Bronze Ring ""Coin"" Circa 400 BC Very Rare",$9.99,"EU, France",martichworldcoins7,https://www.ebay.com/itm/Ancient-Celtic-Proto-Money-Bronze-Ring-Coin-Circa-400-BC-Very-Rare/223680894464?hash=item34146b9600%3Ag%3AQhUAAOSwmyNdi5gh&LH_Auction=1
"Oct 2, 2019 3 Celtic Cast Rings",$8.12,"Bishop's Stortford, United Kingdom",del550,https://www.ebay.com/itm/3-Celtic-Cast-Rings/153657805186?hash=item23c6b80982%3Ag%3AMuEAAOSw6vZdi4BC&LH_Auction=1
"Oct 1, 2019 Ancient Roman Celtic artifact w ornament brooch fibula 1 cent AD Super Condition",$23.40,"Moscow, Russian Federation",antic-mikhail,https://www.ebay.com/itm/Ancient-Roman-Celtic-artifact-w-ornament-brooch-fibula-1-cent-AD-Super-Condition/183964758609?hash=item2ad5277251%3Ag%3AO-UAAOSw8A1dhevr&LH_Auction=1
"Oct 1, 2019 RARE TYPE AND WELL PRESERVED CELTIC IRON PRICK SPUR, TOP CONDITION+++",$39.99,"..................., Norway",aurelius1962,https://www.ebay.com/itm/RARE-TYPE-AND-WELL-PRESERVED-CELTIC-IRON-PRICK-SPUR-TOP-CONDITION/223679859118?hash=item34145bc9ae%3Ag%3A9JgAAOSwKjFdN4fF&LH_Auction=1
"Oct 1, 2019 ** AMAZING  ** Ancient CELTIC Bronze Fibula ** SNAKE HEAD ** 3. - 4. century BC",$4.24,"Pireas, default, Greece",olympiacoins,https://www.ebay.com/itm/AMAZING-Ancient-CELTIC-Bronze-Fibula-SNAKE-HEAD-3-4-century-BC/113901249032?hash=item1a850b2208%3Ag%3A8xMAAOSwG4ZdeDL6&LH_Auction=1
"Oct 1, 2019  SCARCE ANCIENT CELTIC BRONZE BULL FIGURINE WITH REMNANTS OF GOLD GILT 100BC",$263.12,"Didcot, United Kingdom",antiquiti,https://www.ebay.com/itm/SCARCE-ANCIENT-CELTIC-BRONZE-BULL-FIGURINE-WITH-REMNANTS-OF-GOLD-GILT-100BC/153656623984?hash=item23c6a60370%3Ag%3ApNkAAOSwgvxdcMUX&LH_Auction=1
