Object,Price,Location,Seller,Link
"Oct 2, 2019  PRE COLUMBIAN AUTHENTIC EFFIGY POT of a Turtle - Rare",$53.78,"Louisville, Kentucky, United States",bhg8_86,https://www.ebay.com/itm/PRE-COLUMBIAN-AUTHENTIC-EFFIGY-POT-of-a-Turtle-Rare/383173976392?hash=item5936f2e148%3Ag%3AQRgAAOSwySBdbb4F&LH_Auction=1
"Oct 2, 2019 Pre-Columbian Mayan Effigy Clay Figure, Central America",$26.00,"West Palm Beach, Florida, United States",us.e548,https://www.ebay.com/itm/Pre-Columbian-Mayan-Effigy-Clay-Figure-Central-America/153657870234?hash=item23c6b9079a%3Ag%3AZUcAAOSwHJVbMwT%7E&LH_Auction=1
"Oct 2, 2019 Pre-Columbian Stone Bead, Costa Rica,  Authentic",$9.99,"West Palm Beach, Florida, United States",us.e548,https://www.ebay.com/itm/Pre-Columbian-Stone-Bead-Costa-Rica-Authentic/153657851141?hash=item23c6b8bd05%3Ag%3ANRwAAOSwL6Jdi5W4&LH_Auction=1
"Oct 2, 2019 Pre-Columbian Jade Bead,Translucent Jade, Calcified, Light Green",$9.99,"West Palm Beach, Florida, United States",us.e548,https://www.ebay.com/itm/Pre-Columbian-Jade-Bead-Translucent-Jade-Calcified-Light-Green/153657811894?hash=item23c6b823b6%3Ag%3Aw2gAAOSwJUBdi4ze&LH_Auction=1
"Oct 2, 2019 Miniature Copper Mace, Pre-Columbian",$10.49,"West Palm Beach, Florida, United States",us.e548,https://www.ebay.com/itm/Miniature-Copper-Mace-Pre-Columbian/153657807964?hash=item23c6b8145c%3Ag%3A-e0AAOSwTBJdi4lR&LH_Auction=1
"Oct 2, 2019 Pre-Columbian Jade Pendant, Translucent Olive Green Jade, Nicoya Costa Rica",$11.50,"West Palm Beach, Florida, United States",us.e548,https://www.ebay.com/itm/Pre-Columbian-Jade-Pendant-Translucent-Olive-Green-Jade-Nicoya-Costa-Rica/153657784622?hash=item23c6b7b92e%3Ag%3AGuYAAOSw4qZdi4Nr&LH_Auction=1
"Oct 2, 2019 Pre-Columbian Tubular Bead, Green Stone Bead, Costa Rica,  Authentic",$5.99,"West Palm Beach, Florida, United States",us.e548,https://www.ebay.com/itm/Pre-Columbian-Tubular-Bead-Green-Stone-Bead-Costa-Rica-Authentic/153657770515?hash=item23c6b78213%3Ag%3AcNEAAOSwSRRdi4DO&LH_Auction=1
"Oct 2, 2019 Pre Columbian Figural Human Head Mayan Pottery Fragment Shard LOT of 5",$31.00,"Asheville, North Carolina, United States",925sfairtradeinc,https://www.ebay.com/itm/Pre-Columbian-Figural-Human-Head-Mayan-Pottery-Fragment-Shard-LOT-of-5/383182375221?hash=item5937730935%3Ag%3AwpMAAOSw08ddkMOU&LH_Auction=1
"Oct 2, 2019 Pre-Columbian Translucent Jade Avian Axe God Pendant, Costa Rica",$19.99,"West Palm Beach, Florida, United States",us.e548,https://www.ebay.com/itm/Pre-Columbian-Translucent-Jade-Avian-Axe-God-Pendant-Costa-Rica/153657762220?hash=item23c6b761ac%3Ag%3AE0AAAOSwEy1di37H&LH_Auction=1
"Oct 2, 2019 Pre-Columbian Green Jade Tubular Bead",$9.99,"West Palm Beach, Florida, United States",us.e548,https://www.ebay.com/itm/Pre-Columbian-Green-Jade-Tubular-Bead/153657722974?hash=item23c6b6c85e%3Ag%3AsEoAAOSwyhddi3Vq&LH_Auction=1
"Oct 2, 2019 Pre-Columbian Dark Greyish Jade Tubular Bead, Authentic",$9.99,"West Palm Beach, Florida, United States",us.e548,https://www.ebay.com/itm/Pre-Columbian-Dark-Greyish-Jade-Tubular-Bead-Authentic/153657736161?hash=item23c6b6fbe1%3Ag%3APsAAAOSwZUFdi3lP&LH_Auction=1
"Oct 2, 2019 Pre-Columbian Green Jade Tubular Bead",$12.83,"West Palm Beach, Florida, United States",us.e548,https://www.ebay.com/itm/Pre-Columbian-Green-Jade-Tubular-Bead/153657722974?hash=item23c6b6c85e%3Ag%3AsEoAAOSwyhddi3Vq&LH_Auction=1
"Oct 2, 2019 Pre-Columbian Green Jade Tubular Bead, Central America",$40.00,"West Palm Beach, Florida, United States",us.e548,https://www.ebay.com/itm/Pre-Columbian-Green-Jade-Tubular-Bead-Central-America/153657702140?hash=item23c6b676fc%3Ag%3ADBQAAOSw30Ndi3FD&LH_Auction=1
"Oct 1, 2019 PRE-COLUMBIAN_Mesoamerican_ Black Stone Celt Axe  Pendant_2 13/16"" h_14.4 Grams",$13.49,"Miami, Florida, United States",worldtraveler57,https://www.ebay.com/itm/PRE-COLUMBIAN-Mesoamerican-Black-Stone-Celt-Axe-Pendant-2-13-16-h-14-4-Grams/352798315705?hash=item52246b14b9%3Ag%3A3xgAAOSwnNZdhuZy&LH_Auction=1
"Oct 1, 2019 PRE-COLUMBIAN_Mesoamerican_Greenstone Avian Figural Pendant Bead_36.9 x 13.1mm",$37.63,"Miami, Florida, United States",worldtraveler57,https://www.ebay.com/itm/PRE-COLUMBIAN-Mesoamerican-Greenstone-Avian-Figural-Pendant-Bead-36-9-x-13-1mm/333336883633?hash=item4d9c6d31b1%3Ag%3A0RcAAOSwFItdhuTM&LH_Auction=1
"Oct 1, 2019 PRE-COLUMBIAN Mesoamerican_""Supernatural"" Black Obsidian Burial Stone_4 1/4"" h",$76.57,"Miami, Florida, United States",worldtraveler57,https://www.ebay.com/itm/PRE-COLUMBIAN-Mesoamerican-Supernatural-Black-Obsidian-Burial-Stone-4-1-4-h/352798305742?hash=item52246aedce%3Ag%3AXFgAAOSwy2BdhuFH&LH_Auction=1
"Oct 1, 2019 PRE-COLUMBIAN_Mesoamerican_Greenstone Jade Pendant Bead_8.7 x 17.4 x 14.9mm",$9.99,"Miami, Florida, United States",worldtraveler57,https://www.ebay.com/itm/PRE-COLUMBIAN-Mesoamerican-Greenstone-Jade-Pendant-Bead-8-7-x-17-4-x-14-9mm/333336878164?hash=item4d9c6d1c54%3Ag%3A96cAAOSwcDBdhuDN&LH_Auction=1
"Oct 1, 2019 PRE-COLUMBIAN_Mesoamerican_Pattern Design_Domed Pendant Bead_7.6 x 27.4 x 19.7mm",$9.99,"Miami, Florida, United States",worldtraveler57,https://www.ebay.com/itm/PRE-COLUMBIAN-Mesoamerican-Pattern-Design-Domed-Pendant-Bead-7-6-x-27-4-x-19-7mm/352798297987?hash=item52246acf83%3Ag%3AxYgAAOSwvxNdhtyb&LH_Auction=1
"Oct 1, 2019 3 Pirate Era - 1600's Early America Spanish Bronze Cobs Exact Lot Shown 1915",$8.27,"Saint Paul, Minnesota, United States",estatebureau,https://www.ebay.com/itm/3-Pirate-Era-1600s-Early-America-Spanish-Bronze-Cobs-Exact-Lot-Shown-1915/372785484964?hash=item56cbbf14a4%3Ag%3ABBwAAOSwRsRdcAMG&LH_Auction=1
"Oct 1, 2019 AUTHENTIC 6 X 8 FRAME OF 7 FORT ANCIENT ARTIFACTS FROM THE GRENAWALT COLLEC.",$28.00,"Schaumburg, Illinois, United States",rocketflyer,https://www.ebay.com/itm/AUTHENTIC-6-X-8-FRAME-OF-7-FORT-ANCIENT-ARTIFACTS-FROM-THE-GRENAWALT-COLLEC/392421690914?hash=item5b5e27ce22%3Ag%3AY5EAAOSww4ldeSNc&LH_Auction=1
"Oct 1, 2019 SOLID AUTHENTIC CA 1350 AD CASAS GRANDES POLYCHROME JAR FROM THE ROBERTS COLL.",$76.00,"Schaumburg, Illinois, United States",rocketflyer,https://www.ebay.com/itm/SOLID-AUTHENTIC-CA-1350-AD-CASAS-GRANDES-POLYCHROME-JAR-FROM-THE-ROBERTS-COLL/362751781027?hash=item5475b0e8a3%3Ag%3A64kAAOSwo5ZdeSDI&LH_Auction=1
"Oct 1, 2019 AUTHENTIC FUR TRADE ERA BEADS FROM THE A.E. AVERY COLLECTION, CATALOGED 1943",$9.50,"Schaumburg, Illinois, United States",rocketflyer,https://www.ebay.com/itm/AUTHENTIC-FUR-TRADE-ERA-BEADS-FROM-THE-A-E-AVERY-COLLECTION-CATALOGED-1943/392421661836?hash=item5b5e275c8c%3Ag%3AqIwAAOSwFytdeR87&LH_Auction=1
"Oct 1, 2019 NICE AUTHENTIC DALTON POINT FROM MAHASKA COUNTY IOWA",$6.50,"Schaumburg, Illinois, United States",rocketflyer,https://www.ebay.com/itm/NICE-AUTHENTIC-DALTON-POINT-FROM-MAHASKA-COUNTY-IOWA/362751769167?hash=item5475b0ba4f%3Ag%3ARMkAAOSwUeZdeR3X&LH_Auction=1
"Oct 1, 2019 AUTHENTIC 32 PIECE OLD COPPER CULTURE ASSEMBLAGE FROM VILAS COUNTY, WISCONSIN",$41.60,"Schaumburg, Illinois, United States",rocketflyer,https://www.ebay.com/itm/AUTHENTIC-32-PIECE-OLD-COPPER-CULTURE-ASSEMBLAGE-FROM-VILAS-COUNTY-WISCONSIN/362751763320?hash=item5475b0a378%3Ag%3AvGEAAOSwN9BdeRnh&LH_Auction=1
"Oct 1, 2019 8 SCARCE EARLY COPIES OF THE JOURNAL ""PREHISTORIC ART"" - COMPLETE YEARS 1982,83",$66.00,"Schaumburg, Illinois, United States",rocketflyer,https://www.ebay.com/itm/8-SCARCE-EARLY-COPIES-OF-THE-JOURNAL-PREHISTORIC-ART-COMPLETE-YEARS-1982-83/362751760663?hash=item5475b09917%3Ag%3ApiIAAOSwJJhdeRhR&LH_Auction=1
"Oct 1, 2019 6 EARLY COPIES OF THE CENTRAL STATES ARCHAEOLOGICAL JOURNAL 1954, 1956",$56.00,"Schaumburg, Illinois, United States",rocketflyer,https://www.ebay.com/itm/6-EARLY-COPIES-OF-THE-CENTRAL-STATES-ARCHAEOLOGICAL-JOURNAL-1954-1956/392421627726?hash=item5b5e26d74e%3Ag%3At34AAOSwT4RdeRZM&LH_Auction=1
"Oct 1, 2019 milk glass night light old great shape",$4.00,"Frederica, Delaware, United States",glwa_12,https://www.ebay.com/itm/milk-glass-night-light-old-great-shape/401898469055?hash=item5d9303f6bf%3Ag%3AuoMAAOSwbPldioMR&LH_Auction=1
"Oct 1, 2019  HUGE PRE-COLUMBIAN STONE OLMEC  MASK EIGHT POUNDS 9"" HIGH",$760.00,"Asheville, North Carolina, United States",the.marcel.gibrat.collection,https://www.ebay.com/itm/HUGE-PRE-COLUMBIAN-STONE-OLMEC-MASK-EIGHT-POUNDS-9-HIGH/303296636472?hash=item469de36638%3Ag%3AMwMAAOSwrxpdildZ&LH_Auction=1
"Oct 1, 2019 Pre-Columbian potty, Terracotta, geometrical paint, 12th-15th Century AD",$50.10,"Wien, Austria",agora-wien,https://www.ebay.com/itm/Pre-Columbian-potty-Terracotta-geometrical-paint-12th-15th-Century-AD/202783726767?hash=item2f36da1caf%3Ag%3AOOgAAOSwk85dhfjg&LH_Auction=1
"Oct 1, 2019 Stunning Pre-Columbian art Quimbaya Civilization - Colombia",$560.00,"Asheville, North Carolina, United States",the.marcel.gibrat.collection,https://www.ebay.com/itm/Stunning-Pre-Columbian-art-Quimbaya-Civilization-Colombia/303296437431?hash=item469de05cb7%3Ag%3A4tsAAOSwbkNddnAM&LH_Auction=1
