Object,Price,Location,Seller,Link
"Sep 11, 2019 Byzantine cross (12-14th centuries)medieval  Metal detector finds 100%original",$1.00,"Klimovsk, Russian Federation",artifacts_and_coins,https://www.ebay.com/itm/Byzantine-cross-12-14th-centuries-medieval-Metal-detector-finds-100-original/113873445458?hash=item1a8362e252%3Ag%3A2K0AAOSwl-Nda%7E33&LH_Auction=1
"Sep 10, 2019 Ancient Viking Bronze Mirror Green Patina Rare",$2.25,"Moscow, Russian Federation",antic-mikhail,https://www.ebay.com/itm/Ancient-Viking-Bronze-Mirror-Green-Patina-Rare/183936021255?hash=item2ad370f307%3Ag%3A9xIAAOSwahJdakGX&LH_Auction=1
"Sep 10, 2019 LOT of 4 PCS. ANCIENT ROMAN , BYZANTINE AND MEDIEVAL FINGER RINGS, TOP VARIETY",$30.99,"..................., Norway",aurelius1962,https://www.ebay.com/itm/LOT-of-4-PCS-ANCIENT-ROMAN-BYZANTINE-AND-MEDIEVAL-FINGER-RINGS-TOP-VARIETY/223649813404?hash=item341291539c%3Ag%3AW2UAAOSwudZdZbDs&LH_Auction=1
"Sep 10, 2019  ANCIENT BYZANTINE BRONZE RELIQUARY CROSS PENDANT JESUS NAILED TO CROSS VERY RAR",$11.68,"Didcot, United Kingdom",antiquiti,https://www.ebay.com/itm/ANCIENT-BYZANTINE-BRONZE-RELIQUARY-CROSS-PENDANT-JESUS-NAILED-TO-CROSS-VERY-RAR/153627595868?hash=item23c4eb145c%3Ag%3A808AAOSwe%7EtdbRHN&LH_Auction=1
"Sep 10, 2019 GOLD GILDED BYZANTINE BUCKLE DETECTOR FINDS",$5.16,"Didcot, United Kingdom",antiquiti,https://www.ebay.com/itm/GOLD-GILDED-BYZANTINE-BUCKLE-DETECTOR-FINDS/153628733294?hash=item23c4fc6f6e%3Ag%3AzDsAAOSw8n5dbiTr&LH_Auction=1
"Sep 10, 2019 SUPERB ANCIENT BYZANTINE BRONZE RING WITH DECORATED BEZEL. VERY FINE STATE",$6.76,"Didcot, United Kingdom",antiquiti,https://www.ebay.com/itm/SUPERB-ANCIENT-BYZANTINE-BRONZE-RING-WITH-DECORATED-BEZEL-VERY-FINE-STATE/153628722673?hash=item23c4fc45f1%3Ag%3ACZAAAOSwtcBdbiBm&LH_Auction=1
"Sep 10, 2019  ANCIENT BYZANTINE CERAMIC GREEK FIRE GRENADE WAR OBJECT",$94.68,"Didcot, United Kingdom",antiquiti,https://www.ebay.com/itm/ANCIENT-BYZANTINE-CERAMIC-GREEK-FIRE-GRENADE-WAR-OBJECT/153627517700?hash=item23c4e9e304%3Ag%3A9ukAAOSwlbZdbP5v&LH_Auction=1
"Sep 10, 2019 SUPERB ANCIENT BYZANTINE BRONZE RING WITH DECORATED BEZEL. VERY FINE STATE",$17.95,"Didcot, United Kingdom",antiquiti,https://www.ebay.com/itm/SUPERB-ANCIENT-BYZANTINE-BRONZE-RING-WITH-DECORATED-BEZEL-VERY-FINE-STATE/153628722673?hash=item23c4fc45f1%3Ag%3ACZAAAOSwtcBdbiBm&LH_Auction=1
"Sep 10, 2019 LATE ROMAN/EARLY BYZANTINE BRONZE CASKET KEY RING 400-500AD",$20.90,"Didcot, United Kingdom",antiquiti,https://www.ebay.com/itm/LATE-ROMAN-EARLY-BYZANTINE-BRONZE-CASKET-KEY-RING-400-500AD/153628720099?hash=item23c4fc3be3%3Ag%3AfGMAAOSwWXddbh8-&LH_Auction=1
"Sep 10, 2019 LATE MEDIEVAL STONE SCULPTURE",$99.00,"Mastromarco, Italy",l.orcino,https://www.ebay.com/itm/LATE-MEDIEVAL-STONE-SCULPTURE/233331532174?hash=item3653a4a18e%3Ag%3AHxoAAOSwMXZdbspy&LH_Auction=1
"Sep 10, 2019 ANCIENT ROMAN / BYZANTINE RING WITH 'STAR'--DETECTOR FIND",$16.60,"Stockton-on-Tees, United Kingdom",johnboy2954,https://www.ebay.com/itm/ANCIENT-ROMAN-BYZANTINE-RING-WITH-STAR-DETECTOR-FIND/352776859333?hash=item522323aec5%3Ag%3A0nkAAOSwGvVdbsbr&LH_Auction=1
